Unternehmen;Symbol;Valorennummer;Land;Handelswährung;Handels-platform;Papierart;Nennwert;Kotierungs-segment;Rechnungslegungsnorm;Nächste Generalversammlung;Jahresabschlussdatum;Revisionsorgan;Nachhaltigkeitsbericht Opting in;International anerkannter Standard;Primär-kotiert
Meyer Burger Technology AG;MBTN;10850379;CH;CHF;XSWX;RS;0.05;Swiss Reporting Standard;Swiss GAAP FER;04.05.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Mikron Holding AG;MIKN;339006;CH;CHF;XSWX;RS;0.10;Swiss Reporting Standard;Swiss GAAP FER;23.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
mobilezone holding ag;MOZN;27683769;CH;CHF;XSWX;RS;0.01;Swiss Reporting Standard;Swiss GAAP FER;07.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Mobimo Holding AG;MOBN;1110887;CH;CHF;XSWX;RS;13.40;Immobiliengesellschaften;IFRS;30.03.21;31.12.;Ernst & Young AG - CH[500646];Ja;Global Reporting Initiative (GRI);true
Molecular Partners AG;MOLN;25637909;CH;CHF;XSWX;RS;0.10;International Reporting Standard;IFRS;;31.12.;KPMG AG - CH[501403];Nein;;true
NEBAG AG;NBEN;505943;CH;CHF;XSWX;RS;1.50;Investmentgesellschaften;IFRS;18.05.21;31.12.;BDO AG - CH[500705];Nein;;true
Nestlé AG;NESN;3886335;CH;CHF;XSWX;RS;0.10;International Reporting Standard;IFRS;15.04.21;31.12.;Ernst & Young AG - CH[500646];Ja;Global Reporting Initiative (GRI);true
New Value AG;NEWN;1081986;CH;CHF;XSWX;RS;0.10;Investmentgesellschaften;IFRS;04.09.20;31.03.;BDO AG - CH[500705];Nein;;true
Newron Pharmaceuticals S.p.A.;NWRN;2791431;IT;CHF;XSWX;RS;0.20;International Reporting Standard;IFRS;;31.12.;E & Y, Reconta Ernst & Young S.p.A. - IT;Nein;;true
NIBE Industrier AB;NIBEB;32514128;SE;CHF;XSWX;RS;0.00;International Reporting Standard;;;;;Nein;;false
Novartis AG;NOVN;1200526;CH;CHF;XSWX;RS;0.50;International Reporting Standard;IFRS;02.03.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Ja;Global Reporting Initiative (GRI);true
Novavest Real Estate AG;NREN;21218624;CH;CHF;XSWX;RS;28.55;Immobiliengesellschaften;Swiss GAAP FER;;31.12.;PricewaterhouseCoopers AG - CH[050003];Nein;;true
ObsEva SA;OBSN;34617770;CH;CHF;XSWX;RS;0.08;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
OC Oerlikon Corporation AG;OERL;81682;CH;CHF;XSWX;RS;1.00;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Orascom Development Holding AG;ODHN;3828567;CH;CHF;XSWX;RS;5.00;International Reporting Standard;IFRS;;31.12.;Deloitte AG - CH[500420];Nein;;true
Orell Füssli AG;OFN;342080;CH;CHF;XSWX;RS;1.00;Swiss Reporting Standard;Swiss GAAP FER;11.05.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Orior AG;ORON;11167736;CH;CHF;XSWX;RS;4.00;Swiss Reporting Standard;Swiss GAAP FER;26.04.21;31.12.;Ernst & Young AG - CH[500646];Ja;Global Reporting Initiative (GRI);true
Pargesa Holding SA;PARG;2178339;CH;CHF;XSWX;BS;20.00;International Reporting Standard;IFRS;04.09.20;31.12.;Deloitte AG - CH[500420];Nein;;true
Partners Group Holding AG;PGHN;2460882;CH;CHF;XSWX;RS;0.01;International Reporting Standard;IFRS;;31.12.;KPMG AG - CH[501403];Nein;;true
Peach Property Group AG;PEAN;11853036;CH;CHF;XSWX;RS;1.00;International Reporting Standard;IFRS;28.05.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
PepsiCo Inc.;PEP;961618;US;CHF;XSWX;RS;0.02;International Reporting Standard;;;;KPMG LLP - US;Nein;;false
Perfect Holding SA;PRFN;911512;CH;CHF;XSWX;RS;0.01;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Perrot Duval Holding SA;PEDU;25262070;CH;CHF;XSWX;BS;50.00;Swiss Reporting Standard;Swiss GAAP FER;24.09.20;30.04.;KPMG AG - CH[501403];Nein;;true
Philip Morris International Inc;PMI;3754629;US;CHF;XSWX;RS;0.00;International Reporting Standard;;;;PricewaterhouseCoopers AG - CH[500003];Nein;;false
Phoenix Mecano AG;PM;218781;CH;CHF;XSWX;BS;1.00;Swiss Reporting Standard;IFRS;21.05.21;31.12.;BDO AG - CH[500705];Nein;;true
PIERER Mobility AG;PMAG;41860974;AT;CHF;XSWX;BS;0.00;International Reporting Standard;IFRS;;31.12.;KPMG Wirtschaftsprüfungs- und Steuerberatungs GmbH - AT;Nein;;true
PLAZZA AG;PLAN;28414291;CH;CHF;XSWX;RS;0.50;Immobiliengesellschaften;Swiss GAAP FER;31.03.21;31.12.;KPMG AG - CH[501403];Nein;;true
Poenina Holding AG;PNHO;12252764;CH;CHF;XSWX;RS;0.10;Swiss Reporting Standard;Swiss GAAP FER;19.05.21;31.12.;BDO AG - CH[500705];Nein;;true
Polyphor AG;POLN;10621379;CH;CHF;XSWX;RS;2.00;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Private Equity Holding AG;PEHN;608992;CH;CHF;XSWX;RS;6.00;Investmentgesellschaften;IFRS;;31.03.;KPMG AG - CH[501403];Nein;;true
PSP Swiss Property AG;PSPN;1829415;CH;CHF;XSWX;RS;0.10;Immobiliengesellschaften;IFRS;31.03.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Rapid Nutrition PLC;RAP;24217339;GB;EUR;XSWX;RS;0.01;International Reporting Standard;IFRS;;30.06.;Greenwich & Co Audit Pty Ltd - AU[483361];Nein;;true
RELIEF THERAPEUTICS Holding AG;RLF;10019113;CH;CHF;XSWX;RS;0.01;International Reporting Standard;IFRS;;31.12.;Mazars Coresa - CH[500241];Nein;;true
Rieter Holding AG;RIEN;367144;CH;CHF;XSWX;RS;5.00;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Roche Holding AG;RO;1203211;CH;CHF;XSWX;BS;1.00;International Reporting Standard;IFRS;16.03.21;31.12.;KPMG AG - CH[501403];Nein;;true
Roche Holding AG;ROG;1203204;CH;CHF;XSWX;GC;0.00;International Reporting Standard;IFRS;16.03.21;31.12.;KPMG AG - CH[501403];Nein;;true
Romande Energie Holding SA;HREN;2560733;CH;CHF;XSWX;RS;25.00;International Reporting Standard;IFRS;;31.12.;Deloitte AG - CH[500420];Nein;;true
Royal Bank of Canada;RY;699232;CA;CHF;XSWX;RS;0.00;International Reporting Standard;;;;Deloitte & Touche LLP - CA;Nein;;false
Santhera Pharmaceuticals Holding AG;SANN;2714864;CH;CHF;XSWX;RS;1.00;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Schaffner Holding AG;SAHN;906209;CH;CHF;XSWX;RS;32.50;Swiss Reporting Standard;Swiss GAAP FER;12.01.21;30.09.;BDO AG - CH[500705];Nein;;true
Schindler Holding AG;SCHN;2463821;CH;CHF;XSWX;RS;0.10;International Reporting Standard;IFRS;23.03.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Schindler Holding AG;SCHP;2463819;CH;CHF;XSWX;PC;0.10;International Reporting Standard;IFRS;23.03.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Schlatter Industries AG;STRN;227731;CH;CHF;XSWX;RS;16.00;Swiss Reporting Standard;Swiss GAAP FER;04.05.21;31.12.;KPMG AG - CH[501403];Nein;;true
SCHMOLZ+BICKENBACH AG;STLN;579566;CH;CHF;XSWX;RS;0.30;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Schweiter Technologies AG;SWTQ;1075492;CH;CHF;XSWX;BS;1.00;International Reporting Standard;IFRS;;31.12.;Deloitte AG - CH[500420];Nein;;true
Schweizerische Nationalbank;SNBN;131926;CH;CHF;XSWX;RS;250.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;KPMG AG - CH[501403];Nein;;true
Scor SE;SCR;2844943;FR;CHF;XSWX;RS;7.88;International Reporting Standard;;;;Mazars & Guérard - FR;Nein;;false
Sensirion Holding AG;SENS;40670512;CH;CHF;XSWX;RS;0.10;International Reporting Standard;IFRS;;31.12.;KPMG AG - CH[501403];Nein;;true
SF Urban Properties AG;SFPN;3281613;CH;CHF;XSWX;RS;12.60;Immobiliengesellschaften;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
SFS Group AG;SFSN;23922930;CH;CHF;XSWX;RS;0.10;Swiss Reporting Standard;Swiss GAAP FER;22.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
SGS AG;SGSN;249745;CH;CHF;XSWX;RS;1.00;International Reporting Standard;IFRS;23.03.21;31.12.;Deloitte AG - CH[500420];Nein;;true
SHL Telemedicine Ltd.;SHLTN;1128957;IL;CHF;XSWX;RS;0.01;International Reporting Standard;IFRS;21.09.20;31.12.;E & Y, Kost Forer Gabbay and Kasierer - IL;Nein;;true
Siegfried Holding AG;SFZN;1428449;CH;CHF;XSWX;RS;24.20;Swiss Reporting Standard;Swiss GAAP FER;22.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Ja;Global Reporting Initiative (GRI);true
SIG Combibloc Group AG;SIGN;43537795;CH;CHF;XSWX;RS;0.01;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];Ja;Global Reporting Initiative (GRI);true
Sika AG;SIKA;41879292;CH;CHF;XSWX;RS;0.01;International Reporting Standard;IFRS;20.04.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Sociedad Comercial del Plata SA;CADN;455617;AR;CHF;XSWX;RS;1.00;International Reporting Standard;;;;Deloitte & Co. - AR;Nein;;false
SoftwareONE Holding AG;SWON;49645150;CH;CHF;XSWX;RS;0.01;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Sonova Holding AG;SOON;1254978;CH;CHF;XSWX;RS;0.05;International Reporting Standard;IFRS;15.06.21;31.03.;PricewaterhouseCoopers AG - CH[500003];Ja;Global Reporting Initiative (GRI);true
Spice Private Equity AG;SPCE;915331;CH;USD;XSWX;RS;10.00;Investmentgesellschaften;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
St.Galler Kantonalbank AG;SGKN;1148406;CH;CHF;XSWX;RS;80.00;Swiss Reporting Standard;Bankengesetz;05.05.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Stadler Rail AG;SRAIL;217818;CH;CHF;XSWX;RS;0.20;Swiss Reporting Standard;Swiss GAAP FER;06.05.21;31.12.;KPMG AG - CH[501403];Nein;;true
Starrag Group Holding AG;STGN;236106;CH;CHF;XSWX;RS;8.50;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Straumann Holding AG;STMN;1228007;CH;CHF;XSWX;RS;0.10;International Reporting Standard;IFRS;09.04.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Sulzer AG;SUN;3838891;CH;CHF;XSWX;RS;0.01;International Reporting Standard;IFRS;;31.12.;KPMG AG - CH[501403];Nein;;true
Sunrise Communications Group AG;SRCG;26729122;CH;CHF;XSWX;RS;1.00;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Swiss Life Holding AG;SLHN;1485278;CH;CHF;XSWX;RS;0.10;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];Ja;Global Reporting Initiative (GRI);true
Swiss Prime Site AG;SPSN;803838;CH;CHF;XSWX;RS;15.30;Immobiliengesellschaften;Swiss GAAP FER;23.03.21;31.12.;KPMG AG - CH[501403];Nein;;true
Swiss Re AG;SREN;12688156;CH;CHF;XSWX;RS;0.10;International Reporting Standard;US GAAP;16.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Swisscom AG;SCMN;874251;CH;CHF;XSWX;RS;1.00;International Reporting Standard;IFRS;31.03.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Ja;Global Reporting Initiative (GRI);true
Swissquote Group Holding Ltd;SQN;1067586;CH;CHF;XSWX;RS;0.20;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Tecan Group AG;TECN;1210019;CH;CHF;XSWX;RS;0.10;International Reporting Standard;IFRS;13.04.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
TEMENOS AG;TEMN;1245391;CH;CHF;XSWX;RS;5.00;International Reporting Standard;IFRS;20.05.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
The Native SA;NTIV;632685;CH;CHF;XSWX;BS;3.50;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;Berney Associés Audit SA - CH;Nein;;true
The Swatch Group AG;UHR;1225515;CH;CHF;XSWX;BS;2.25;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
The Swatch Group AG;UHRN;1225514;CH;CHF;XSWX;RS;0.45;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Thurgauer Kantonalbank;TKBP;23135110;CH;CHF;XSWX;PC;20.00;Swiss Reporting Standard;Bankengesetz;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Tornos Holding AG;TOHN;1160768;CH;CHF;XSWX;RS;3.50;Swiss Reporting Standard;Swiss GAAP FER;14.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
TX Group AG;TXGN;1117825;CH;CHF;XSWX;RS;10.00;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
u-blox Holding AG;UBXN;3336167;CH;CHF;XSWX;RS;14.80;International Reporting Standard;IFRS;;31.12.;KPMG AG - CH[501403];Nein;;true
UBS Group AG;UBSG;24476758;CH;CHF;XSWX;RS;0.10;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];Ja;Global Reporting Initiative (GRI);true
Unisys Corporation;UIS;10641130;US;CHF;XSWX;RS;0.01;International Reporting Standard;;;;KPMG LLP - US;Nein;;false
V-ZUG Holding AG;VZUG;54248374;CH;CHF;XSWX;RS;0.27;Swiss Reporting Standard;Swiss GAAP FER;29.04.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Valartis Group AG;VLRT;36742768;CH;CHF;XSWX;RS;1.00;International Reporting Standard;IFRS;11.05.21;31.12.;BDO AG - CH[500705];Nein;;true
Valiant Holding AG;VATN;1478650;CH;CHF;XSWX;RS;0.50;Swiss Reporting Standard;Bankengesetz;19.05.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Valora Holding AG;VALN;208897;CH;CHF;XSWX;RS;1.00;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Varia US Properties AG;VARN;30528529;CH;CHF;XSWX;RS;1.00;Immobiliengesellschaften;IFRS;;31.12.;KPMG AG - CH[501403];Nein;;true
VAT Group AG;VACN;31186490;CH;CHF;XSWX;RS;0.10;International Reporting Standard;IFRS;;31.12.;KPMG AG - CH[501403];Nein;;true
Vaudoise Assurances Holding SA;VAHN;2154566;CH;CHF;XSWX;RS;25.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Vetropack Holding AG;VETN;53023559;CH;CHF;XSWX;RS;1.00;Swiss Reporting Standard;Swiss GAAP FER;21.04.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Vifor Pharma AG;VIFN;36474934;CH;CHF;XSWX;RS;0.01;International Reporting Standard;IFRS;06.05.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Villars Holding S.A.;VILN;260965;CH;CHF;XSWX;RS;44.00;Swiss Reporting Standard;Swiss GAAP FER;12.05.21;31.12.;KPMG AG - CH[501403];Nein;;true
Von Roll Holding AG;ROL;324535;CH;CHF;XSWX;BS;0.10;Swiss Reporting Standard;IFRS;;31.12.;Deloitte AG - CH[500420];Nein;;true
Vontobel Holding AG;VONN;1233554;CH;CHF;XSWX;RS;1.00;International Reporting Standard;IFRS;20.04.21;31.12.;Ernst & Young AG - CH[500646];Ja;Global Reporting Initiative (GRI);true
VP Bank AG;VPBN;31548726;LI;CHF;XSWX;RS;10.00;International Reporting Standard;IFRS;30.04.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
VZ Holding AG;VZN;52875158;CH;CHF;XSWX;RS;0.05;International Reporting Standard;IFRS;12.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Walliser Kantonalbank;WKBN;30595120;CH;CHF;XSWX;RS;10.00;Swiss Reporting Standard;Bankengesetz;21.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Warteck Invest AG;WARN;261948;CH;CHF;XSWX;RS;10.00;Immobiliengesellschaften;Swiss GAAP FER;26.05.21;31.12.;KPMG AG - CH[501403];Ja;Global Reporting Initiative (GRI);true
WISeKey International Holding Ltd;WIHN;31402927;CH;CHF;XSWX;RS;0.05;International Reporting Standard;US GAAP;;31.12.;BDO AG - CH[500705];Nein;;true
Ypsomed Holding AG;YPSN;1939699;CH;CHF;XSWX;RS;14.15;Swiss Reporting Standard;Swiss GAAP FER;;31.03.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Zehnder Group AG;ZEHN;27653461;CH;CHF;XSWX;RS;0.05;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Zimmer Biomet Holdings Inc.;ZBH;1262932;US;CHF;XSWX;RS;0.01;International Reporting Standard;;;;PricewaterhouseCoopers LLP - US;Nein;;false
Züblin Immobilien Holding AG;ZUBN;31230968;CH;CHF;XSWX;RS;22.50;Immobiliengesellschaften;IFRS;;31.03.;Ernst & Young AG - CH[500646];Nein;;true
Zug Estates Holding AG;ZUGN;14805212;CH;CHF;XSWX;RS;25.00;Immobiliengesellschaften;Swiss GAAP FER;13.04.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Zuger Kantonalbank AG;ZUGER;49389124;CH;CHF;XSWX;RS;500.00;Swiss Reporting Standard;Bankengesetz;08.05.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Zur Rose Group AG;ROSE;4261528;CH;CHF;XSWX;RS;30.00;International Reporting Standard;IFRS;29.04.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Zurich Insurance Group AG;ZURN;1107539;CH;CHF;XSWX;RS;0.10;International Reporting Standard;IFRS;07.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Zwahlen & Mayr SA;ZWM;266173;CH;CHF;XSWX;BS;200.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;Fiduciaire FIDAG SA - CH[501570];Nein;;true
