Unternehmen;Symbol;Valorennummer;Land;Handelswährung;Handels-platform;Papierart;Nennwert;Kotierungs-segment;Rechnungslegungsnorm;Nächste Generalversammlung;Jahresabschlussdatum;Revisionsorgan;Nachhaltigkeitsbericht Opting in;International anerkannter Standard;Primär-kotiert
BB Biotech AG;BION;3838999;CH;CHF;XSWX;RS;0.20;Investmentgesellschaften;IFRS;18.03.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
BELIMO Holding AG;BEAN;150319;CH;CHF;XSWX;RS;1.00;International Reporting Standard;IFRS;29.03.21;31.12.;KPMG AG - CH[501403];Nein;;true
Bell Food Group AG;BELL;31596632;CH;CHF;XSWX;RS;0.50;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;KPMG AG - CH[501403];Ja;Global Reporting Initiative (GRI);true
Bellevue Group AG;BBN;2842210;CH;CHF;XSWX;RS;0.10;International Reporting Standard;IFRS;23.03.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Bergbahnen Engelberg-Trübsee-Titlis AG;TIBN;52704495;CH;CHF;XSWX;RS;0.04;Swiss Reporting Standard;Swiss GAAP FER;26.02.21;31.12.;BDO AG - CH[500705];Nein;;true
Berner Kantonalbank AG;BEKN;969160;CH;CHF;XSWX;RS;20.00;Swiss Reporting Standard;Bankengesetz;18.05.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Ja;Global Reporting Initiative (GRI);true
BFW Liegenschaften AG;BLIN;1820611;CH;CHF;XSWX;RS;6.10;Immobiliengesellschaften;Swiss GAAP FER;;31.12.;Deloitte AG - CH[500420];Nein;;true
BKW AG;BKW;13029366;CH;CHF;XSWX;RS;2.50;International Reporting Standard;IFRS;07.05.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Blackstone Resources AG;BLS;46002711;CH;CHF;XSWX;RS;0.50;International Reporting Standard;IFRS;;31.12.;MOORE STEPHENS EXPERT (ZURICH) AG - CH[505046];Nein;;true
Bobst Group SA;BOBNN;1268465;CH;CHF;XSWX;RS;1.00;Swiss Reporting Standard;Swiss GAAP FER;30.03.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Bossard Holding AG;BOSN;23862714;CH;CHF;XSWX;RS;5.00;Swiss Reporting Standard;Swiss GAAP FER;12.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Bucher Industries AG;BUCN;243217;CH;CHF;XSWX;RS;0.20;Swiss Reporting Standard;Swiss GAAP FER;15.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Burckhardt Compression Holding AG;BCHN;2553602;CH;CHF;XSWX;RS;2.50;Swiss Reporting Standard;Swiss GAAP FER;;31.03.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Burkhalter Holding AG;BRKN;21225580;CH;CHF;XSWX;RS;0.04;Swiss Reporting Standard;Swiss GAAP FER;25.05.21;31.12.;KPMG AG - CH[501403];Nein;;true
BVZ Holding AG;BVZN;820735;CH;CHF;XSWX;RS;100.00;Swiss Reporting Standard;Swiss GAAP FER;15.04.21;31.12.;KPMG AG - CH[501403];Nein;;true
Calida Holding AG;CALN;12663946;CH;CHF;XSWX;RS;0.10;International Reporting Standard;IFRS;15.04.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Carlo Gavazzi Holding AG;GAV;1100359;CH;CHF;XSWX;BS;15.00;International Reporting Standard;IFRS;27.07.21;31.03.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Cassiopea S.p.A.;SKIN;28252872;IT;CHF;XSWX;RS;1.00;International Reporting Standard;IFRS;;31.12.;BDO Italia S.p.A. - IT;Nein;;true
Castle Alternative Invest AG;CASN;509275;CH;CHF;XSWX;RS;0.05;Investmentgesellschaften;IFRS;12.05.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Castle Private Equity AG;CPEN;4885474;CH;CHF;XSWX;RS;0.05;Investmentgesellschaften;IFRS;11.05.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Caterpillar Inc.;CAT;916546;US;CHF;XSWX;RS;1.00;International Reporting Standard;;;;PricewaterhouseCoopers LLP - US;Nein;;false
Cembra Money Bank AG;CMBN;22517316;CH;CHF;XSWX;RS;1.00;International Reporting Standard;US GAAP;22.04.21;31.12.;KPMG AG - CH[501403];Ja;Global Reporting Initiative (GRI);true
Chocoladefabriken Lindt & Sprüngli AG;LISN;1057075;CH;CHF;XSWX;RS;100.00;International Reporting Standard;IFRS;04.05.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Chocoladefabriken Lindt & Sprüngli AG;LISP;1057076;CH;CHF;XSWX;PC;10.00;International Reporting Standard;IFRS;04.05.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
CI Com SA;CIE;162581;CH;CHF;XSWX;BS;20.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;PKF CERTIFICA SA - CH[504736];Nein;;true
Cicor Technologies Ltd.;CICN;870219;CH;CHF;XSWX;RS;10.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;KPMG AG - CH[501403];Nein;;true
