ISIN;CH0030252883;CH0030252909
SYMBOL;SLI;SLIC
NAME;SLI®;SLIC
;Price;Total Return
YTD Perf.%;    12.130;    12.440;
Date;Close;Close
23.06.2016; 1221.33;   1789.71;
22.06.2016; 1210.83;   1774.33;
21.06.2016; 1202.81;   1762.57;
20.06.2016; 1199.47;   1757.67;
17.06.2016; 1165.82;   1708.37;
16.06.2016; 1150.40;   1685.77;
15.06.2016; 1160.57;   1700.25;
14.06.2016; 1151.08;   1686.36;
13.06.2016; 1173.53;   1719.24;
10.06.2016; 1195.25;   1751.07;
09.06.2016; 1220.12;   1787.50;
08.06.2016; 1233.18;   1806.64;
07.06.2016; 1242.84;   1820.78;
06.06.2016; 1235.26;   1809.68;
03.06.2016; 1232.31;   1805.37;
02.06.2016; 1241.78;   1819.23;
01.06.2016; 1241.15;   1818.31;
31.05.2016; 1247.55;   1827.68;
30.05.2016; 1255.11;   1838.76;
27.05.2016; 1256.34;   1840.57;
26.05.2016; 1251.49;   1833.46;
25.05.2016; 1242.19;   1819.83;
24.05.2016; 1236.72;   1811.82;
23.05.2016; 1224.31;   1793.64;
20.05.2016; 1222.02;   1790.29;
19.05.2016; 1210.40;   1773.25;
18.05.2016; 1217.76;   1780.37;
17.05.2016; 1208.65;   1767.04;
13.05.2016; 1210.18;   1766.77;
12.05.2016; 1206.51;   1760.61;
11.05.2016; 1216.18;   1768.84;
10.05.2016; 1218.15;   1771.71;
09.05.2016; 1202.55;   1749.02;
06.05.2016; 1192.28;   1733.54;
04.05.2016; 1194.98;   1736.49;
03.05.2016; 1207.33;   1754.44;
02.05.2016; 1231.24;   1788.12;
29.04.2016; 1228.14;   1783.62;
28.04.2016; 1247.85;   1810.80;
27.04.2016; 1245.24;   1803.89;
26.04.2016; 1242.21;   1799.49;
25.04.2016; 1241.36;   1793.27;
22.04.2016; 1246.32;   1800.43;
21.04.2016; 1252.49;   1809.36;
20.04.2016; 1259.45;   1819.41;
19.04.2016; 1250.29;   1806.17;
18.04.2016; 1235.67;   1785.06;
15.04.2016; 1230.90;   1778.16;
14.04.2016; 1233.09;   1780.47;
13.04.2016; 1224.81;   1767.95;
12.04.2016; 1198.62;   1730.14;
11.04.2016; 1191.36;   1719.66;
08.04.2016; 1194.15;   1718.65;
07.04.2016; 1184.83;   1702.23;
06.04.2016; 1189.46;   1708.89;
05.04.2016; 1180.89;   1696.56;
04.04.2016; 1194.11;   1715.56;
01.04.2016; 1188.98;   1708.19;
31.03.2016; 1205.78;   1726.38;
30.03.2016; 1211.42;   1734.46;
29.03.2016; 1198.27;   1715.62;
24.03.2016; 1195.87;   1712.19;
23.03.2016; 1214.61;   1738.64;
22.03.2016; 1209.92;   1731.92;
21.03.2016; 1209.41;   1731.20;
18.03.2016; 1206.96;   1726.22;
17.03.2016; 1212.99;   1734.85;
16.03.2016; 1215.09;   1737.85;
15.03.2016; 1223.71;   1748.82;
14.03.2016; 1236.97;   1767.77;
11.03.2016; 1234.62;   1764.42;
10.03.2016; 1214.07;   1735.04;
09.03.2016; 1229.10;   1756.52;
08.03.2016; 1226.70;   1753.10;
07.03.2016; 1235.76;   1766.04;
04.03.2016; 1229.74;   1757.44;
03.03.2016; 1221.47;   1745.63;
02.03.2016; 1224.23;   1744.57;
01.03.2016; 1214.03;   1730.04;
29.02.2016; 1194.38;   1702.03;
26.02.2016; 1195.87;   1704.16;
25.02.2016; 1179.56;   1680.92;
24.02.2016; 1158.03;   1644.92;
23.02.2016; 1178.87;   1674.53;
22.02.2016; 1203.38;   1709.35;
19.02.2016; 1187.07;   1686.19;
18.02.2016; 1195.49;   1698.14;
17.02.2016; 1195.51;   1698.16;
16.02.2016; 1170.12;   1662.10;
15.02.2016; 1174.24;   1667.95;
12.02.2016; 1142.36;   1622.68;
11.02.2016; 1115.27;   1584.19;
10.02.2016; 1153.03;   1637.83;
09.02.2016; 1130.10;   1605.26;
08.02.2016; 1160.06;   1647.82;
05.02.2016; 1196.39;   1699.41;
04.02.2016; 1200.34;   1705.03;
03.02.2016; 1215.55;   1726.64;
02.02.2016; 1224.90;   1739.92;
01.02.2016; 1246.21;   1770.19;
29.01.2016; 1249.66;   1775.08;
28.01.2016; 1227.14;   1743.10;
27.01.2016; 1244.44;   1767.45;
26.01.2016; 1236.82;   1756.63;
25.01.2016; 1226.93;   1742.58;
22.01.2016; 1231.97;   1749.74;
21.01.2016; 1198.01;   1701.51;
20.01.2016; 1189.03;   1688.75;
19.01.2016; 1231.05;   1748.44;
18.01.2016; 1211.98;   1721.35;
15.01.2016; 1214.05;   1724.29;
14.01.2016; 1245.92;   1769.56;
13.01.2016; 1263.43;   1794.42;
12.01.2016; 1251.40;   1777.33;
11.01.2016; 1235.06;   1754.13;
08.01.2016; 1239.26;   1760.10;
07.01.2016; 1266.98;   1799.47;
06.01.2016; 1293.40;   1837.00;
05.01.2016; 1307.75;   1857.37;
04.01.2016; 1302.02;   1849.23;
30.12.2015; 1331.92;   1891.70;
29.12.2015; 1339.82;   1902.92;
28.12.2015; 1321.04;   1876.25;
23.12.2015; 1317.47;   1871.19;
22.12.2015; 1290.00;   1832.16;
21.12.2015; 1289.46;   1831.39;
18.12.2015; 1298.96;   1844.89;
17.12.2015; 1307.19;   1856.57;
16.12.2015; 1298.58;   1844.34;
15.12.2015; 1294.70;   1838.84;
14.12.2015; 1262.17;   1792.64;
11.12.2015; 1279.55;   1817.32;
10.12.2015; 1301.87;   1849.02;
09.12.2015; 1303.46;   1851.28;
08.12.2015; 1312.40;   1863.98;
07.12.2015; 1332.75;   1892.88;
04.12.2015; 1329.77;   1888.64;
03.12.2015; 1337.61;   1899.79;
02.12.2015; 1359.91;   1931.45;
01.12.2015; 1356.63;   1926.80;
30.11.2015; 1357.43;   1927.94;
27.11.2015; 1354.87;   1924.30;
26.11.2015; 1350.99;   1918.79;
25.11.2015; 1347.71;   1914.12;
24.11.2015; 1324.13;   1880.64;
23.11.2015; 1341.02;   1904.62;
20.11.2015; 1352.95;   1921.57;
19.11.2015; 1353.27;   1922.03;
18.11.2015; 1351.22;   1919.11;
17.11.2015; 1344.70;   1909.85;
16.11.2015; 1311.99;   1863.40;
13.11.2015; 1316.84;   1870.28;
12.11.2015; 1326.22;   1883.61;
11.11.2015; 1338.64;   1901.25;
10.11.2015; 1330.36;   1889.49;
09.11.2015; 1333.90;   1894.51;
06.11.2015; 1347.47;   1913.79;
05.11.2015; 1346.24;   1912.04;
04.11.2015; 1345.65;   1911.20;
03.11.2015; 1343.63;   1908.33;
02.11.2015; 1344.29;   1909.27;
30.10.2015; 1337.17;   1899.16;
29.10.2015; 1338.55;   1901.11;
28.10.2015; 1335.24;   1896.42;
27.10.2015; 1322.55;   1878.39;
26.10.2015; 1331.74;   1891.44;
23.10.2015; 1331.96;   1891.76;
22.10.2015; 1311.42;   1862.58;
21.10.2015; 1285.42;   1825.66;
20.10.2015; 1287.20;   1828.18;
19.10.2015; 1290.40;   1832.74;
16.10.2015; 1292.90;   1836.29;
15.10.2015; 1281.91;   1820.68;
14.10.2015; 1271.06;   1805.26;
13.10.2015; 1282.38;   1821.34;
12.10.2015; 1293.80;   1837.56;
09.10.2015; 1294.42;   1838.45;
08.10.2015; 1288.53;   1830.07;
07.10.2015; 1283.99;   1823.63;
06.10.2015; 1294.46;   1838.50;
05.10.2015; 1284.17;   1823.88;
02.10.2015; 1248.27;   1772.90;
01.10.2015; 1245.88;   1769.50;
30.09.2015; 1245.05;   1768.32;
29.09.2015; 1220.07;   1732.85;
28.09.2015; 1226.20;   1741.55;
25.09.2015; 1246.59;   1770.51;
24.09.2015; 1217.63;   1729.38;
23.09.2015; 1245.56;   1769.05;
22.09.2015; 1251.31;   1777.22;
21.09.2015; 1293.44;   1837.06;
18.09.2015; 1288.22;   1829.64;
17.09.2015; 1307.19;   1854.83;
16.09.2015; 1310.79;   1859.93;
15.09.2015; 1298.51;   1842.51;
14.09.2015; 1286.69;   1825.73;
11.09.2015; 1299.47;   1843.87;
10.09.2015; 1302.28;   1847.86;
09.09.2015; 1316.13;   1867.50;
08.09.2015; 1300.07;   1844.72;
07.09.2015; 1287.13;   1826.35;
04.09.2015; 1281.66;   1818.59;
03.09.2015; 1303.82;   1850.03;
02.09.2015; 1281.05;   1817.73;
01.09.2015; 1278.75;   1814.47;
31.08.2015; 1306.74;   1854.19;
28.08.2015; 1300.64;   1845.52;
27.08.2015; 1303.65;   1849.80;
26.08.2015; 1269.15;   1800.85;
25.08.2015; 1301.28;   1846.43;
24.08.2015; 1257.15;   1783.82;
21.08.2015; 1306.67;   1854.09;
20.08.2015; 1348.59;   1913.37;
19.08.2015; 1371.27;   1945.55;
18.08.2015; 1393.14;   1976.58;
17.08.2015; 1394.01;   1977.82;
14.08.2015; 1387.27;   1968.25;
13.08.2015; 1386.59;   1967.30;
12.08.2015; 1370.89;   1945.01;
11.08.2015; 1407.77;   1997.34;
10.08.2015; 1421.20;   2016.40;
07.08.2015; 1407.34;   1996.73;
06.08.2015; 1415.36;   2008.11;
05.08.2015; 1424.95;   2021.71;
04.08.2015; 1415.28;   2008.00;
03.08.2015; 1413.09;   2004.89;
31.07.2015; 1407.89;   1997.51;
30.07.2015; 1402.63;   1990.05;
29.07.2015; 1399.06;   1984.98;
28.07.2015; 1383.87;   1963.43;
27.07.2015; 1370.70;   1944.74;
24.07.2015; 1391.99;   1974.27;
23.07.2015; 1401.70;   1988.04;
22.07.2015; 1388.26;   1968.98;
21.07.2015; 1399.17;   1984.46;
20.07.2015; 1410.88;   2001.07;
17.07.2015; 1408.99;   1998.38;
16.07.2015; 1409.43;   1999.00;
15.07.2015; 1390.89;   1972.71;
14.07.2015; 1387.83;   1968.37;
13.07.2015; 1378.32;   1954.88;
10.07.2015; 1361.24;   1930.66;
09.07.2015; 1338.19;   1897.97;
08.07.2015; 1317.68;   1868.88;
07.07.2015; 1308.70;   1856.14;
06.07.2015; 1325.85;   1880.46;
03.07.2015; 1338.83;   1898.87;
02.07.2015; 1345.06;   1907.71;
01.07.2015; 1337.60;   1897.13;
30.06.2015; 1318.98;   1870.72;
29.06.2015; 1331.56;   1888.57;
26.06.2015; 1353.24;   1919.32;
25.06.2015; 1356.89;   1924.49;
24.06.2015; 1361.60;   1931.17;
23.06.2015; 1368.47;   1940.90;
22.06.2015; 1352.91;   1918.84;
19.06.2015; 1331.80;   1888.90;
18.06.2015; 1329.55;   1885.71;
17.06.2015; 1334.20;   1891.88;
16.06.2015; 1344.61;   1906.64;
15.06.2015; 1340.50;   1900.82;
12.06.2015; 1356.21;   1923.09;
11.06.2015; 1371.98;   1945.45;
10.06.2015; 1368.89;   1941.07;
09.06.2015; 1351.21;   1916.00;
08.06.2015; 1359.95;   1928.39;
05.06.2015; 1365.15;   1935.77;
04.06.2015; 1383.57;   1961.89;
03.06.2015; 1385.68;   1964.88;
02.06.2015; 1375.47;   1950.40;
01.06.2015; 1382.14;   1959.86;
29.05.2015; 1380.93;   1957.28;
28.05.2015; 1402.42;   1987.75;
27.05.2015; 1404.61;   1990.85;
26.05.2015; 1387.57;   1966.52;
22.05.2015; 1399.68;   1983.68;
21.05.2015; 1401.55;   1986.33;
20.05.2015; 1396.13;   1978.65;
19.05.2015; 1387.65;   1966.63;
18.05.2015; 1372.76;   1945.52;
15.05.2015; 1362.64;   1931.19;
13.05.2015; 1353.72;   1918.55;
12.05.2015; 1354.06;   1919.03;
11.05.2015; 1363.81;   1932.02;
08.05.2015; 1358.35;   1919.34;
07.05.2015; 1325.06;   1871.49;
06.05.2015; 1328.85;   1876.84;
05.05.2015; 1348.76;   1904.96;
04.05.2015; 1354.95;   1910.41;
30.04.2015; 1348.75;   1899.25;
29.04.2015; 1353.48;   1903.09;
28.04.2015; 1370.19;   1924.44;
27.04.2015; 1383.93;   1943.75;
24.04.2015; 1379.56;   1937.61;
23.04.2015; 1383.54;   1943.19;
22.04.2015; 1388.51;   1946.17;
21.04.2015; 1383.34;   1938.93;
20.04.2015; 1376.88;   1929.88;
17.04.2015; 1371.30;   1917.04;
16.04.2015; 1395.66;   1950.29;
15.04.2015; 1401.94;   1958.49;
14.04.2015; 1398.47;   1952.58;
13.04.2015; 1400.75;   1955.77;
10.04.2015; 1405.57;   1962.50;
09.04.2015; 1398.51;   1950.14;
08.04.2015; 1376.91;   1920.03;
07.04.2015; 1379.75;   1923.98;
02.04.2015; 1362.22;   1893.84;
01.04.2015; 1362.10;   1893.26;
31.03.2015; 1359.51;   1889.66;
30.03.2015; 1371.68;   1906.58;
27.03.2015; 1355.45;   1884.02;
26.03.2015; 1357.25;   1886.52;
25.03.2015; 1371.11;   1905.79;
24.03.2015; 1383.41;   1922.89;
23.03.2015; 1392.56;   1935.27;
20.03.2015; 1394.81;   1936.90;
19.03.2015; 1380.90;   1917.59;
18.03.2015; 1373.36;   1907.12;
17.03.2015; 1366.34;   1897.37;
16.03.2015; 1371.63;   1904.72;
13.03.2015; 1363.03;   1891.40;
12.03.2015; 1355.48;   1880.93;
11.03.2015; 1353.96;   1878.82;
10.03.2015; 1337.53;   1856.02;
09.03.2015; 1339.13;   1858.24;
06.03.2015; 1345.81;   1867.52;
05.03.2015; 1339.53;   1858.81;
04.03.2015; 1329.02;   1839.67;
03.03.2015; 1324.70;   1833.68;
02.03.2015; 1335.57;   1844.06;
27.02.2015; 1330.41;   1836.94;
26.02.2015; 1333.77;   1841.58;
25.02.2015; 1325.82;   1830.61;
24.02.2015; 1325.79;   1830.56;
23.02.2015; 1322.51;   1826.04;
20.02.2015; 1313.20;   1813.17;
19.02.2015; 1312.95;   1812.83;
18.02.2015; 1301.82;   1797.47;
17.02.2015; 1289.74;   1779.88;
16.02.2015; 1285.81;   1774.46;
13.02.2015; 1279.01;   1765.09;
12.02.2015; 1270.22;   1752.95;
11.02.2015; 1257.90;   1735.95;
10.02.2015; 1263.78;   1744.07;
09.02.2015; 1264.66;   1745.27;
06.02.2015; 1261.74;   1741.25;
05.02.2015; 1258.35;   1736.57;
04.02.2015; 1262.01;   1741.61;
03.02.2015; 1241.25;   1712.98;
02.02.2015; 1231.80;   1699.93;
30.01.2015; 1222.55;   1687.17;
29.01.2015; 1224.11;   1689.31;
28.01.2015; 1208.26;   1667.18;
27.01.2015; 1219.56;   1682.78;
26.01.2015; 1208.94;   1668.13;
23.01.2015; 1189.52;   1641.33;
22.01.2015; 1169.12;   1613.19;
21.01.2015; 1166.72;   1609.87;
20.01.2015; 1183.20;   1632.62;
19.01.2015; 1182.55;   1631.72;
16.01.2015; 1147.18;   1582.90;
15.01.2015; 1220.13;   1683.57;
14.01.2015; 1346.26;   1857.60;
13.01.2015; 1362.30;   1879.74;
12.01.2015; 1343.20;   1853.38;
09.01.2015; 1337.69;   1845.78;
08.01.2015; 1342.00;   1851.72;
07.01.2015; 1311.54;   1809.69;
06.01.2015; 1308.57;   1805.60;
05.01.2015; 1317.71;   1818.21;
30.12.2014; 1330.98;   1836.52;
29.12.2014; 1339.70;   1848.56;
23.12.2014; 1340.23;   1849.28;
22.12.2014; 1337.35;   1845.31;
19.12.2014; 1329.52;   1834.51;
18.12.2014; 1327.19;   1831.29;
17.12.2014; 1297.34;   1790.10;
16.12.2014; 1298.32;   1791.46;
15.12.2014; 1285.50;   1773.77;
12.12.2014; 1308.12;   1804.97;
11.12.2014; 1331.23;   1836.87;
10.12.2014; 1327.57;   1831.81;
09.12.2014; 1333.83;   1840.45;
08.12.2014; 1354.60;   1869.11;
05.12.2014; 1365.04;   1883.52;
04.12.2014; 1349.03;   1861.42;
03.12.2014; 1357.13;   1872.61;
02.12.2014; 1350.42;   1863.35;
01.12.2014; 1349.29;   1861.78;
28.11.2014; 1351.87;   1865.34;
27.11.2014; 1350.42;   1863.34;
26.11.2014; 1341.92;   1851.61;
25.11.2014; 1342.72;   1852.73;
24.11.2014; 1342.17;   1851.96;
21.11.2014; 1343.45;   1853.73;
20.11.2014; 1326.25;   1830.00;
19.11.2014; 1324.89;   1828.12;
18.11.2014; 1323.64;   1826.39;
17.11.2014; 1317.68;   1818.17;
14.11.2014; 1317.63;   1818.10;
13.11.2014; 1324.57;   1827.68;
12.11.2014; 1315.00;   1814.47;
11.11.2014; 1320.48;   1821.16;
10.11.2014; 1316.02;   1815.01;
07.11.2014; 1307.84;   1803.72;
06.11.2014; 1311.18;   1808.34;
05.11.2014; 1308.89;   1805.18;
04.11.2014; 1289.48;   1778.40;
03.11.2014; 1296.97;   1788.74;
31.10.2014; 1309.76;   1806.37;
30.10.2014; 1292.82;   1783.01;
29.10.2014; 1282.56;   1768.86;
28.10.2014; 1277.78;   1762.27;
27.10.2014; 1259.07;   1736.47;
24.10.2014; 1262.29;   1740.91;
23.10.2014; 1266.16;   1746.24;
22.10.2014; 1259.06;   1736.46;
21.10.2014; 1243.81;   1715.42;
20.10.2014; 1224.00;   1688.10;
17.10.2014; 1222.06;   1685.42;
16.10.2014; 1192.73;   1644.97;
15.10.2014; 1201.65;   1657.28;
14.10.2014; 1232.35;   1699.62;
13.10.2014; 1231.39;   1698.29;
10.10.2014; 1236.16;   1704.88;
09.10.2014; 1255.64;   1731.74;
08.10.2014; 1261.99;   1740.49;
07.10.2014; 1269.55;   1750.92;
06.10.2014; 1288.56;   1777.13;
03.10.2014; 1283.01;   1769.48;
02.10.2014; 1277.29;   1761.59;
01.10.2014; 1299.29;   1791.94;
30.09.2014; 1306.93;   1802.48;
29.09.2014; 1300.71;   1793.90;
26.09.2014; 1303.42;   1797.63;
25.09.2014; 1302.01;   1795.68;
24.09.2014; 1306.73;   1802.20;
23.09.2014; 1301.93;   1795.57;
22.09.2014; 1310.49;   1807.39;
19.09.2014; 1316.03;   1815.02;
18.09.2014; 1312.47;   1808.88;
17.09.2014; 1310.38;   1806.01;
16.09.2014; 1308.97;   1804.06;
15.09.2014; 1309.56;   1804.86;
12.09.2014; 1312.05;   1808.30;
11.09.2014; 1315.73;   1813.37;
10.09.2014; 1316.38;   1814.27;
09.09.2014; 1319.39;   1818.42;
08.09.2014; 1320.51;   1819.96;
05.09.2014; 1319.35;   1818.36;
04.09.2014; 1325.16;   1826.37;
03.09.2014; 1320.26;   1819.61;
02.09.2014; 1314.02;   1811.01;
01.09.2014; 1310.76;   1806.53;
29.08.2014; 1305.53;   1799.32;
28.08.2014; 1301.49;   1793.75;
27.08.2014; 1309.04;   1804.16;
26.08.2014; 1310.05;   1805.55;
25.08.2014; 1300.63;   1792.56;
22.08.2014; 1291.44;   1779.90;
21.08.2014; 1293.92;   1783.31;
20.08.2014; 1286.28;   1772.78;
19.08.2014; 1287.86;   1774.13;
18.08.2014; 1277.24;   1759.50;
15.08.2014; 1264.13;   1741.44;
14.08.2014; 1273.48;   1754.32;
13.08.2014; 1267.23;   1745.71;
12.08.2014; 1258.05;   1733.07;
11.08.2014; 1258.69;   1733.95;
08.08.2014; 1246.61;   1717.30;
07.08.2014; 1248.86;   1720.40;
06.08.2014; 1252.42;   1725.30;
05.08.2014; 1261.98;   1738.48;
04.08.2014; 1257.91;   1732.86;
31.07.2014; 1273.92;   1754.92;
30.07.2014; 1287.40;   1773.49;
29.07.2014; 1296.03;   1785.39;
28.07.2014; 1296.57;   1786.13;
25.07.2014; 1302.49;   1794.29;
24.07.2014; 1313.10;   1808.89;
23.07.2014; 1307.24;   1800.83;
22.07.2014; 1305.15;   1797.95;
21.07.2014; 1292.45;   1780.45;
18.07.2014; 1293.16;   1781.43;
17.07.2014; 1299.17;   1789.71;
16.07.2014; 1309.62;   1804.11;
15.07.2014; 1300.85;   1792.02;
14.07.2014; 1300.73;   1791.86;
11.07.2014; 1283.63;   1768.30;
10.07.2014; 1285.12;   1770.35;
09.07.2014; 1295.75;   1784.99;
08.07.2014; 1297.59;   1787.54;
07.07.2014; 1309.87;   1804.45;
04.07.2014; 1320.35;   1818.89;
03.07.2014; 1322.42;   1821.74;
02.07.2014; 1310.06;   1804.72;
01.07.2014; 1308.03;   1801.92;
30.06.2014; 1300.27;   1791.22;
27.06.2014; 1302.06;   1793.69;
26.06.2014; 1299.89;   1790.71;
25.06.2014; 1307.61;   1801.33;
24.06.2014; 1320.41;   1818.97;
23.06.2014; 1316.13;   1813.07;
20.06.2014; 1324.43;   1824.51;
19.06.2014; 1321.86;   1820.97;
18.06.2014; 1320.33;   1818.50;
17.06.2014; 1321.12;   1819.59;
16.06.2014; 1317.76;   1814.96;
13.06.2014; 1316.17;   1812.77;
12.06.2014; 1319.52;   1817.39;
11.06.2014; 1324.60;   1824.38;
10.06.2014; 1331.59;   1834.00;
06.06.2014; 1323.36;   1822.67;
05.06.2014; 1317.43;   1814.50;
04.06.2014; 1316.29;   1812.93;
03.06.2014; 1314.02;   1809.80;
02.06.2014; 1320.32;   1818.48;
30.05.2014; 1318.39;   1815.82;
28.05.2014; 1323.69;   1823.13;
27.05.2014; 1325.37;   1824.62;
26.05.2014; 1323.00;   1821.35;
23.05.2014; 1319.38;   1816.37;
22.05.2014; 1317.40;   1813.64;
21.05.2014; 1309.68;   1803.01;
20.05.2014; 1306.57;   1798.73;
19.05.2014; 1303.69;   1794.77;
16.05.2014; 1306.00;   1797.95;
15.05.2014; 1304.06;   1794.44;
14.05.2014; 1307.53;   1799.20;
13.05.2014; 1302.92;   1792.86;
12.05.2014; 1304.09;   1792.43;
09.05.2014; 1297.62;   1780.87;
08.05.2014; 1294.00;   1775.90;
07.05.2014; 1286.68;   1765.07;
06.05.2014; 1286.10;   1764.28;
05.05.2014; 1289.45;   1768.88;
02.05.2014; 1293.79;   1772.32;
30.04.2014; 1300.23;   1777.67;
29.04.2014; 1295.53;   1771.24;
28.04.2014; 1286.37;   1758.72;
25.04.2014; 1285.56;   1756.75;
24.04.2014; 1292.08;   1765.06;
23.04.2014; 1294.04;   1766.51;
22.04.2014; 1296.30;   1769.59;
17.04.2014; 1282.11;   1749.03;
16.04.2014; 1274.72;   1738.51;
15.04.2014; 1265.43;   1725.84;
14.04.2014; 1271.73;   1730.72;
11.04.2014; 1273.61;   1728.16;
10.04.2014; 1293.34;   1754.46;
09.04.2014; 1293.19;   1754.26;
08.04.2014; 1292.81;   1751.97;
07.04.2014; 1293.98;   1753.57;
04.04.2014; 1308.88;   1772.74;
03.04.2014; 1308.84;   1767.76;
02.04.2014; 1306.24;   1764.24;
01.04.2014; 1299.65;   1755.34;
31.03.2014; 1295.18;   1749.30;
28.03.2014; 1285.30;   1735.96;
27.03.2014; 1278.58;   1726.52;
26.03.2014; 1280.29;   1728.83;
25.03.2014; 1271.80;   1717.36;
24.03.2014; 1258.10;   1698.86;
21.03.2014; 1273.69;   1718.53;
20.03.2014; 1271.82;   1716.01;
19.03.2014; 1267.13;   1709.68;
18.03.2014; 1269.46;   1712.45;
17.03.2014; 1257.94;   1696.91;
14.03.2014; 1248.39;   1682.74;
13.03.2014; 1264.89;   1704.99;
12.03.2014; 1280.79;   1726.41;
11.03.2014; 1288.49;   1736.79;
10.03.2014; 1289.00;   1737.48;
07.03.2014; 1291.19;   1740.42;
06.03.2014; 1305.63;   1759.89;
05.03.2014; 1298.06;   1744.85;
04.03.2014; 1295.35;   1741.21;
03.03.2014; 1271.68;   1709.39;
28.02.2014; 1300.20;   1747.73;
27.02.2014; 1296.98;   1743.40;
26.02.2014; 1303.52;   1746.99;
25.02.2014; 1299.93;   1742.18;
24.02.2014; 1298.93;   1740.83;
21.02.2014; 1291.06;   1730.29;
20.02.2014; 1285.91;   1723.39;
19.02.2014; 1292.21;   1731.83;
18.02.2014; 1291.41;   1730.12;
17.02.2014; 1290.78;   1729.29;
14.02.2014; 1289.96;   1728.18;
13.02.2014; 1286.50;   1723.55;
12.02.2014; 1287.46;   1724.84;
11.02.2014; 1281.63;   1717.03;
10.02.2014; 1271.78;   1703.83;
07.02.2014; 1270.95;   1702.72;
06.02.2014; 1259.10;   1686.84;
05.02.2014; 1242.42;   1664.50;
04.02.2014; 1239.65;   1660.78;
03.02.2014; 1236.22;   1656.18;
31.01.2014; 1254.17;   1680.23;
30.01.2014; 1255.61;   1682.17;
29.01.2014; 1249.89;   1674.49;
28.01.2014; 1258.24;   1685.69;
27.01.2014; 1246.16;   1669.51;
24.01.2014; 1256.40;   1683.23;
23.01.2014; 1287.38;   1724.73;
22.01.2014; 1298.61;   1739.77;
21.01.2014; 1300.64;   1742.49;
20.01.2014; 1299.83;   1741.41;
17.01.2014; 1300.00;   1741.64;
16.01.2014; 1294.75;   1734.60;
15.01.2014; 1293.38;   1732.77;
14.01.2014; 1287.19;   1724.47;
13.01.2014; 1289.51;   1727.57;
10.01.2014; 1281.37;   1716.67;
09.01.2014; 1269.59;   1700.89;
08.01.2014; 1276.54;   1710.20;
07.01.2014; 1272.44;   1704.71;
06.01.2014; 1265.87;   1695.91;
03.01.2014; 1265.63;   1695.59;
30.12.2013; 1257.29;   1684.42;
27.12.2013; 1259.92;   1687.93;
23.12.2013; 1243.12;   1665.43;
20.12.2013; 1236.93;   1657.13;
19.12.2013; 1229.11;   1646.66;
18.12.2013; 1209.30;   1620.12;
17.12.2013; 1200.52;   1608.36;
16.12.2013; 1205.26;   1614.71;
13.12.2013; 1198.45;   1605.59;
12.12.2013; 1198.31;   1605.40;
11.12.2013; 1213.75;   1626.09;
10.12.2013; 1217.04;   1630.49;
09.12.2013; 1228.48;   1645.82;
06.12.2013; 1227.26;   1644.18;
05.12.2013; 1222.18;   1637.38;
04.12.2013; 1225.42;   1641.72;
03.12.2013; 1234.42;   1653.77;
02.12.2013; 1258.25;   1685.70;
29.11.2013; 1260.14;   1688.23;
28.11.2013; 1261.20;   1689.65;
27.11.2013; 1257.73;   1685.01;
26.11.2013; 1253.54;   1679.39;
25.11.2013; 1260.70;   1688.98;
22.11.2013; 1252.55;   1678.07;
21.11.2013; 1256.03;   1682.73;
20.11.2013; 1260.47;   1688.67;
19.11.2013; 1265.70;   1695.68;
18.11.2013; 1273.62;   1706.30;
15.11.2013; 1268.79;   1699.82;
14.11.2013; 1265.11;   1694.90;
13.11.2013; 1254.61;   1680.83;
12.11.2013; 1261.60;   1689.51;
11.11.2013; 1266.09;   1695.52;
08.11.2013; 1256.91;   1683.23;
07.11.2013; 1255.25;   1681.01;
06.11.2013; 1252.39;   1677.18;
05.11.2013; 1240.72;   1661.55;
04.11.2013; 1247.66;   1670.84;
01.11.2013; 1251.93;   1676.57;
31.10.2013; 1255.67;   1681.57;
30.10.2013; 1251.96;   1676.60;
29.10.2013; 1250.71;   1674.93;
28.10.2013; 1262.67;   1690.95;
25.10.2013; 1257.20;   1683.62;
24.10.2013; 1256.23;   1682.32;
23.10.2013; 1254.72;   1680.30;
22.10.2013; 1255.80;   1681.75;
21.10.2013; 1244.51;   1666.62;
18.10.2013; 1236.40;   1655.77;
17.10.2013; 1225.92;   1641.73;
16.10.2013; 1220.85;   1634.94;
15.10.2013; 1221.83;   1636.26;
14.10.2013; 1213.95;   1625.71;
11.10.2013; 1216.09;   1628.57;
10.10.2013; 1205.68;   1614.62;
09.10.2013; 1189.37;   1592.78;
08.10.2013; 1199.85;   1606.81;
07.10.2013; 1206.29;   1615.44;
04.10.2013; 1214.55;   1626.51;
03.10.2013; 1213.70;   1625.37;
02.10.2013; 1217.32;   1630.22;
01.10.2013; 1230.18;   1647.44;
30.09.2013; 1222.59;   1637.27;
27.09.2013; 1229.96;   1647.14;
26.09.2013; 1230.80;   1648.27;
25.09.2013; 1232.25;   1650.21;
24.09.2013; 1231.32;   1648.96;
23.09.2013; 1232.81;   1650.96;
20.09.2013; 1239.38;   1659.75;
19.09.2013; 1242.37;   1663.76;
18.09.2013; 1237.16;   1656.79;
17.09.2013; 1234.29;   1652.94;
16.09.2013; 1235.94;   1655.15;
13.09.2013; 1233.03;   1650.41;
12.09.2013; 1231.75;   1648.70;
