ISIN;CH0030252883;CH0030252909
SYMBOL;SLI;SLIC
NAME;SLI®;SLIC
;Price;Total Return
YTD Perf.%;    12.130;    12.440;
Date;Close;Close
20.07.2018; 1472.78;   2303.34;
19.07.2018; 1466.75;   2293.91;
18.07.2018; 1469.18;   2297.72;
17.07.2018; 1455.35;   2276.09;
16.07.2018; 1456.60;   2278.04;
13.07.2018; 1457.25;   2279.05;
12.07.2018; 1450.76;   2268.90;
11.07.2018; 1435.10;   2244.41;
10.07.2018; 1449.96;   2267.65;
09.07.2018; 1446.67;   2262.50;
06.07.2018; 1432.13;   2239.77;
05.07.2018; 1428.48;   2234.06;
04.07.2018; 1423.80;   2226.74;
03.07.2018; 1421.99;   2223.90;
02.07.2018; 1409.06;   2203.69;
29.06.2018; 1424.12;   2227.23;
28.06.2018; 1402.89;   2194.04;
27.06.2018; 1413.06;   2209.94;
26.06.2018; 1407.12;   2200.66;
25.06.2018; 1403.84;   2195.52;
22.06.2018; 1432.35;   2240.12;
21.06.2018; 1407.32;   2200.96;
20.06.2018; 1424.48;   2227.80;
19.06.2018; 1411.86;   2208.07;
18.06.2018; 1426.68;   2231.24;
15.06.2018; 1444.81;   2259.60;
14.06.2018; 1457.22;   2279.01;
13.06.2018; 1447.42;   2263.12;
12.06.2018; 1448.54;   2264.88;
11.06.2018; 1445.73;   2260.48;
08.06.2018; 1426.28;   2230.07;
07.06.2018; 1430.53;   2236.71;
06.06.2018; 1429.40;   2234.95;
05.06.2018; 1424.10;   2226.65;
04.06.2018; 1436.66;   2246.30;
01.06.2018; 1431.00;   2237.45;
31.05.2018; 1404.98;   2196.75;
30.05.2018; 1422.37;   2223.95;
29.05.2018; 1430.92;   2237.31;
28.05.2018; 1455.44;   2275.66;
25.05.2018; 1453.54;   2271.78;
24.05.2018; 1452.87;   2270.73;
23.05.2018; 1458.02;   2278.78;
22.05.2018; 1483.84;   2319.13;
18.05.2018; 1480.45;   2313.84;
17.05.2018; 1488.46;   2326.35;
16.05.2018; 1483.05;   2317.58;
15.05.2018; 1488.51;   2326.11;
14.05.2018; 1489.65;   2327.38;
11.05.2018; 1492.20;   2329.66;
09.05.2018; 1486.38;   2315.54;
08.05.2018; 1479.73;   2305.17;
07.05.2018; 1484.43;   2311.69;
04.05.2018; 1472.36;   2285.22;
03.05.2018; 1462.53;   2268.48;
02.05.2018; 1471.29;   2282.07;
30.04.2018; 1468.07;   2276.01;
27.04.2018; 1462.80;   2267.84;
26.04.2018; 1462.22;   2266.94;
25.04.2018; 1445.45;   2239.13;
24.04.2018; 1457.95;   2256.82;
23.04.2018; 1461.80;   2257.52;
20.04.2018; 1461.55;   2257.14;
19.04.2018; 1462.17;   2258.09;
18.04.2018; 1458.74;   2251.86;
17.04.2018; 1453.89;   2244.37;
16.04.2018; 1436.90;   2218.16;
13.04.2018; 1441.14;   2218.43;
12.04.2018; 1439.50;   2214.69;
11.04.2018; 1425.47;   2193.10;
10.04.2018; 1433.93;   2206.11;
09.04.2018; 1424.27;   2191.26;
06.04.2018; 1421.40;   2186.84;
05.04.2018; 1433.23;   2195.47;
04.04.2018; 1400.53;   2145.38;
03.04.2018; 1417.13;   2167.44;
29.03.2018; 1434.68;   2194.28;
28.03.2018; 1434.00;   2193.23;
27.03.2018; 1419.93;   2171.72;
26.03.2018; 1400.14;   2141.46;
23.03.2018; 1409.23;   2153.57;
22.03.2018; 1420.43;   2170.68;
21.03.2018; 1447.24;   2210.65;
20.03.2018; 1457.76;   2225.18;
19.03.2018; 1449.57;   2212.68;
16.03.2018; 1460.66;   2229.61;
15.03.2018; 1459.98;   2228.58;
14.03.2018; 1450.43;   2206.88;
13.03.2018; 1453.83;   2212.06;
12.03.2018; 1470.74;   2237.79;
09.03.2018; 1464.77;   2228.71;
08.03.2018; 1458.49;   2219.15;
07.03.2018; 1441.15;   2192.76;
06.03.2018; 1438.27;   2188.38;
05.03.2018; 1440.07;   2184.20;
02.03.2018; 1412.92;   2143.02;
01.03.2018; 1445.17;   2191.93;
28.02.2018; 1469.27;   2228.49;
27.02.2018; 1482.24;   2248.16;
26.02.2018; 1487.03;   2255.43;
23.02.2018; 1475.25;   2237.55;
22.02.2018; 1477.60;   2241.12;
21.02.2018; 1483.79;   2250.50;
20.02.2018; 1478.90;   2243.10;
19.02.2018; 1465.38;   2222.58;
16.02.2018; 1477.17;   2240.47;
15.02.2018; 1465.88;   2223.35;
14.02.2018; 1457.19;   2210.16;
13.02.2018; 1434.62;   2175.93;
12.02.2018; 1445.26;   2192.08;
09.02.2018; 1422.07;   2156.89;
08.02.2018; 1436.48;   2178.75;
07.02.2018; 1473.43;   2234.79;
06.02.2018; 1448.92;   2197.61;
05.02.2018; 1493.58;   2265.35;
02.02.2018; 1514.81;   2297.56;
01.02.2018; 1528.33;   2318.06;
31.01.2018; 1531.84;   2323.38;
30.01.2018; 1546.15;   2345.09;
29.01.2018; 1551.41;   2353.07;
26.01.2018; 1559.91;   2365.96;
25.01.2018; 1554.74;   2358.13;
24.01.2018; 1568.70;   2379.30;
23.01.2018; 1571.79;   2383.99;
22.01.2018; 1569.86;   2381.05;
19.01.2018; 1567.50;   2377.47;
18.01.2018; 1555.00;   2358.52;
17.01.2018; 1549.59;   2350.31;
16.01.2018; 1551.47;   2353.16;
15.01.2018; 1559.20;   2364.88;
12.01.2018; 1558.86;   2364.36;
11.01.2018; 1551.96;   2353.91;
10.01.2018; 1551.63;   2353.40;
09.01.2018; 1563.31;   2371.12;
