"CubeId";"devkum"
"PublishingDate";"2019-09-02 14:30"

"Date";"D0";"D1";"Value"
"2000-09";"M1";"JPY100";"1.6053"
"2000-09";"M1";"HKD100";"22.1857"
"2000-10";"M1";"EUR1";"1.5195"
"2000-10";"M1";"GBP1";"2.6214"
"2000-10";"M1";"USD1";"1.8086"
"2000-10";"M1";"BRL100";"94.5"
"2000-10";"M1";"ZAR1";"0.2391"
"2000-10";"M1";"JPY100";"1.6596"
"2000-10";"M1";"HKD100";"23.1878"
"2000-11";"M1";"EUR1";"1.5066"
"2000-11";"M1";"GBP1";"2.4624"
"2000-11";"M1";"USD1";"1.732"
"2000-11";"M1";"BRL100";"88.5"
"2000-11";"M1";"ZAR1";"0.2243"
"2000-11";"M1";"JPY100";"1.5653"
"2000-11";"M1";"HKD100";"22.2046"
"2000-12";"M1";"EUR1";"1.5245"
"2000-12";"M1";"GBP1";"2.4464"
"2000-12";"M1";"USD1";"1.6353"
"2000-12";"M1";"BRL100";"83.8"
"2000-12";"M1";"ZAR1";"0.216"
"2000-12";"M1";"JPY100";"1.4242"
"2000-12";"M1";"HKD100";"20.9648"
"2001-01";"M1";"EUR1";"1.5271"
"2001-01";"M1";"GBP1";"2.4016"
"2001-01";"M1";"USD1";"1.6427"
"2001-01";"M1";"BRL100";"83.6"
"2001-01";"M1";"ZAR1";"0.2104"
"2001-01";"M1";"JPY100";"1.4139"
"2001-01";"M1";"HKD100";"21.0621"
"2001-02";"M1";"EUR1";"1.54"
"2001-02";"M1";"GBP1";"2.4143"
"2001-02";"M1";"USD1";"1.6723"
"2001-02";"M1";"BRL100";"81.8"
"2001-02";"M1";"ZAR1";"0.2178"
"2001-02";"M1";"JPY100";"1.4297"
"2001-02";"M1";"HKD100";"21.4397"
"2001-03";"M1";"EUR1";"1.5265"
"2001-03";"M1";"GBP1";"2.4683"
"2001-03";"M1";"USD1";"1.7275"
"2001-03";"M1";"BRL100";"80.2"
"2001-03";"M1";"ZAR1";"0.2154"
"2001-03";"M1";"JPY100";"1.3795"
"2001-03";"M1";"HKD100";"22.1489"
"2001-04";"M1";"EUR1";"1.5371"
"2001-04";"M1";"GBP1";"2.4766"
"2001-04";"M1";"USD1";"1.7251"
"2001-04";"M1";"BRL100";"78.3"
"2001-04";"M1";"ZAR1";"0.2156"
"2001-04";"M1";"JPY100";"1.3941"
"2001-04";"M1";"HKD100";"22.1184"
"2001-05";"M1";"EUR1";"1.5207"
"2001-05";"M1";"GBP1";"2.5449"
"2001-05";"M1";"USD1";"1.796"
"2001-05";"M1";"BRL100";"76.7"
"2001-05";"M1";"ZAR1";"0.2238"
"2001-05";"M1";"JPY100";"1.5101"
"2001-05";"M1";"HKD100";"23.0248"
"2001-06";"M1";"EUR1";"1.5214"
"2001-06";"M1";"GBP1";"2.527"
"2001-06";"M1";"USD1";"1.796"
"2001-06";"M1";"BRL100";"77.6"
"2001-06";"M1";"ZAR1";"0.2225"
"2001-06";"M1";"JPY100";"1.4438"
"2001-06";"M1";"HKD100";"23.0248"
"2001-07";"M1";"EUR1";"1.5107"
"2001-07";"M1";"GBP1";"2.4602"
"2001-07";"M1";"USD1";"1.7256"
"2001-07";"M1";"BRL100";"71.1"
"2001-07";"M1";"ZAR1";"0.2088"
"2001-07";"M1";"JPY100";"1.383"
"2001-07";"M1";"HKD100";"22.1239"
"2001-08";"M1";"EUR1";"1.5159"
"2001-08";"M1";"GBP1";"2.4112"
"2001-08";"M1";"USD1";"1.6514"
"2001-08";"M1";"BRL100";"65.2"
"2001-08";"M1";"ZAR1";"0.1966"
"2001-08";"M1";"JPY100";"1.3918"
"2001-08";"M1";"HKD100";"21.1702"
"2001-09";"M1";"EUR1";"1.4766"
"2001-09";"M1";"GBP1";"2.3714"
"2001-09";"M1";"USD1";"1.6133"
"2001-09";"M1";"BRL100";"60.3"
"2001-09";"M1";"ZAR1";"0.1804"
"2001-09";"M1";"JPY100";"1.3528"
"2001-09";"M1";"HKD100";"20.6839"
"2001-10";"M1";"EUR1";"1.4692"
"2001-10";"M1";"GBP1";"2.3624"
"2001-10";"M1";"USD1";"1.6234"
"2001-10";"M1";"BRL100";"59.6"
"2001-10";"M1";"ZAR1";"0.1717"
"2001-10";"M1";"JPY100";"1.3323"
"2001-10";"M1";"HKD100";"20.812"
"2001-11";"M1";"EUR1";"1.4717"
"2001-11";"M1";"GBP1";"2.3663"
"2001-11";"M1";"USD1";"1.6614"
"2001-11";"M1";"BRL100";"65.2"
"2001-11";"M1";"ZAR1";"0.1603"
"2001-11";"M1";"JPY100";"1.3406"
"2001-11";"M1";"HKD100";"21.303"
"2001-12";"M1";"EUR1";"1.4813"
"2001-12";"M1";"GBP1";"2.4304"
"2001-12";"M1";"USD1";"1.6782"
"2001-12";"M1";"BRL100";"72"
"2001-12";"M1";"ZAR1";"0.1401"
"2001-12";"M1";"JPY100";"1.2774"
"2001-12";"M1";"HKD100";"21.5231"
"2002-01";"M1";"EUR1";"1.4745"
