sep=;
Migros Bank (CH) Fonds – 45 V - CH0023406561 (CHF)
Date;CCY Chart Price;Chart Price;CCY Adjusted Chart Price;Adjusted Chart Price;CCY Total Return Chart Price;Total Return Chart Price;Net Asset Value;Issue Price;Redemption Price;Closing Price
2017-06-30;CHF;100;CHF;100;CHF;100;100;;;
2017-07-03;CHF;100,44;CHF;100,44;CHF;100,44;100,44;;;
2017-07-04;CHF;100,31;CHF;100,31;CHF;100,31;100,31;;;
2017-07-05;CHF;100,39;CHF;100,39;CHF;100,39;100,39;;;
2017-07-06;CHF;99,95;CHF;99,95;CHF;99,95;99,95;;;
2017-07-07;CHF;99,99;CHF;99,99;CHF;99,99;99,99;;;
2017-07-10;CHF;100,31;CHF;100,31;CHF;100,31;100,31;;;
2017-07-11;CHF;100,22;CHF;100,22;CHF;100,22;100,22;;;
2017-07-12;CHF;100,7;CHF;100,7;CHF;100,7;100,7;;;
2017-07-13;CHF;100,82;CHF;100,82;CHF;100,82;100,82;;;
2017-07-14;CHF;101,04;CHF;101,04;CHF;101,04;101,04;;;
2017-07-17;CHF;101,05;CHF;101,05;CHF;101,05;101,05;;;
2017-07-18;CHF;100,71;CHF;100,71;CHF;100,71;100,71;;;
2017-07-19;CHF;100,96;CHF;100,96;CHF;100,96;100,96;;;
2017-07-20;CHF;100,97;CHF;100,97;CHF;100,97;100,97;;;
2017-07-21;CHF;100,6;CHF;100,6;CHF;100,6;100,6;;;
2017-07-24;CHF;100,4;CHF;100,4;CHF;100,4;100,4;;;
2017-07-25;CHF;100,56;CHF;100,56;CHF;100,56;100,56;;;
2017-07-26;CHF;101,02;CHF;101,02;CHF;101,02;101,02;;;
2017-07-27;CHF;101,29;CHF;101,29;CHF;101,29;101,29;;;
2017-07-28;CHF;101,28;CHF;101,28;CHF;101,28;101,28;;;
2017-07-31;CHF;101,37;CHF;101,37;CHF;101,37;101,37;;;
2017-08-02;CHF;101,78;CHF;101,78;CHF;101,78;101,78;;;
2017-08-03;CHF;101,96;CHF;101,96;CHF;101,96;101,96;;;
2017-08-04;CHF;102,16;CHF;102,16;CHF;102,16;102,16;;;
2017-08-07;CHF;102,25;CHF;102,25;CHF;102,25;102,25;;;
2017-08-08;CHF;102,29;CHF;102,29;CHF;102,29;102,29;;;
2017-08-09;CHF;101,71;CHF;101,71;CHF;101,71;101,71;;;
2017-08-10;CHF;101,24;CHF;101,24;CHF;101,24;101,24;;;
2017-08-11;CHF;100,93;CHF;100,93;CHF;100,93;100,93;;;
2017-08-14;CHF;101,59;CHF;101,59;CHF;101,59;101,59;;;
2017-08-15;CHF;101,43;CHF;101,43;CHF;101,43;101,43;;;
2017-08-16;CHF;101,62;CHF;101,62;CHF;101,62;101,62;;;
2017-08-17;CHF;101,06;CHF;101,06;CHF;101,06;101,06;;;
2017-08-18;CHF;100,78;CHF;100,78;CHF;100,78;100,78;;;
2017-08-21;CHF;100,85;CHF;100,85;CHF;100,85;100,85;;;
2017-08-22;CHF;101,39;CHF;101,39;CHF;101,39;101,39;;;
2017-08-23;CHF;101,29;CHF;101,29;CHF;101,29;101,29;;;
2017-08-24;CHF;101,27;CHF;101,27;CHF;101,27;101,27;;;
2017-08-25;CHF;101,08;CHF;101,08;CHF;101,08;101,08;;;
2017-08-28;CHF;100,93;CHF;100,93;CHF;100,93;100,93;;;
2017-08-29;CHF;100,54;CHF;100,54;CHF;100,54;100,54;;;
2017-08-30;CHF;100,95;CHF;100,95;CHF;100,95;100,95;;;
2017-08-31;CHF;101,32;CHF;101,32;CHF;101,32;101,32;;;
2017-09-01;CHF;101,49;CHF;101,49;CHF;101,49;101,49;;;
2017-09-04;CHF;101,19;CHF;101,19;CHF;101,19;101,19;;;
2017-09-05;CHF;101,11;CHF;101,11;CHF;101,11;101,11;;;
2017-09-06;CHF;101,07;CHF;101,07;CHF;101,07;101,07;;;
2017-09-07;CHF;101,31;CHF;101,31;CHF;101,31;101,31;;;
2017-09-08;CHF;101,25;CHF;101,25;CHF;101,25;101,25;;;
2017-09-11;CHF;101,73;CHF;101,73;CHF;101,73;101,73;;;
2017-09-12;CHF;102,09;CHF;102,09;CHF;102,09;102,09;;;
2017-09-13;CHF;102,05;CHF;102,05;CHF;102,05;102,05;;;
2017-09-14;CHF;102,15;CHF;102,15;CHF;102,15;102,15;;;
2017-09-15;CHF;101,85;CHF;101,85;CHF;101,85;101,85;;;
2017-09-18;CHF;101,95;CHF;101,95;CHF;101,95;101,95;;;
2017-09-19;CHF;102,18;CHF;102,18;CHF;102,18;102,18;;;
2017-09-20;CHF;102,2;CHF;102,2;CHF;102,2;102,2;;;
2017-09-21;CHF;102,42;CHF;102,42;CHF;102,42;102,42;;;
2017-09-22;CHF;102,4;CHF;102,4;CHF;102,4;102,4;;;
2017-09-25;CHF;102,35;CHF;102,35;CHF;102,35;102,35;;;
2017-09-26;CHF;102,11;CHF;102,11;CHF;102,11;102,11;;;
2017-09-27;CHF;102,11;CHF;102,11;CHF;102,11;102,11;;;
2017-09-28;CHF;102,14;CHF;102,14;CHF;102,14;102,14;;;
2017-09-29;CHF;102,34;CHF;102,34;CHF;102,34;102,34;;;
2017-10-02;CHF;102,64;CHF;102,64;CHF;102,64;102,64;;;
2017-10-03;CHF;102,81;CHF;102,81;CHF;102,81;102,81;;;
2017-10-04;CHF;102,83;CHF;102,83;CHF;102,83;102,83;;;
2017-10-05;CHF;102,97;CHF;102,97;CHF;102,97;102,97;;;
2017-10-06;CHF;102,88;CHF;102,88;CHF;102,88;102,88;;;
2017-10-09;CHF;103,06;CHF;103,06;CHF;103,06;103,06;;;
2017-10-10;CHF;103,11;CHF;103,11;CHF;103,11;103,11;;;
2017-10-11;CHF;103,12;CHF;103,12;CHF;103,12;103,12;;;
