sep=;
Migros Bank (CH) Fonds – Sustainable 25 V - CH0365696902 (CHF)
Date;CCY Chart Price;Chart Price;CCY Adjusted Chart Price;Adjusted Chart Price;CCY Total Return Chart Price;Total Return Chart Price;Net Asset Value;Issue Price;Redemption Price;Closing Price
2017-06-30;CHF;100;CHF;100;CHF;100;100;;;
2017-07-03;CHF;100,15;CHF;100,15;CHF;100,15;100,15;;;
2017-07-04;CHF;100,1;CHF;100,1;CHF;100,1;100,1;;;
2017-07-05;CHF;100,15;CHF;100,15;CHF;100,15;100,15;;;
2017-07-06;CHF;99,78;CHF;99,78;CHF;99,78;99,78;;;
2017-07-07;CHF;99,8;CHF;99,8;CHF;99,8;99,8;;;
2017-07-10;CHF;100,05;CHF;100,05;CHF;100,05;100,05;;;
2017-07-11;CHF;99,96;CHF;99,96;CHF;99,96;99,96;;;
2017-07-12;CHF;100,25;CHF;100,25;CHF;100,25;100,25;;;
2017-07-13;CHF;100,3;CHF;100,3;CHF;100,3;100,3;;;
2017-07-14;CHF;100,46;CHF;100,46;CHF;100,46;100,46;;;
2017-07-17;CHF;100,47;CHF;100,47;CHF;100,47;100,47;;;
2017-07-18;CHF;100,27;CHF;100,27;CHF;100,27;100,27;;;
2017-07-19;CHF;100,42;CHF;100,42;CHF;100,42;100,42;;;
2017-07-20;CHF;100,42;CHF;100,42;CHF;100,42;100,42;;;
2017-07-21;CHF;100,25;CHF;100,25;CHF;100,25;100,25;;;
2017-07-24;CHF;100,09;CHF;100,09;CHF;100,09;100,09;;;
2017-07-25;CHF;100,11;CHF;100,11;CHF;100,11;100,11;;;
2017-07-26;CHF;100,41;CHF;100,41;CHF;100,41;100,41;;;
2017-07-27;CHF;100,57;CHF;100,57;CHF;100,57;100,57;;;
2017-07-28;CHF;100,58;CHF;100,58;CHF;100,58;100,58;;;
2017-07-31;CHF;100,65;CHF;100,65;CHF;100,65;100,65;;;
2017-08-02;CHF;100,97;CHF;100,97;CHF;100,97;100,97;;;
2017-08-03;CHF;101,17;CHF;101,17;CHF;101,17;101,17;;;
2017-08-04;CHF;101,31;CHF;101,31;CHF;101,31;101,31;;;
2017-08-07;CHF;101,39;CHF;101,39;CHF;101,39;101,39;;;
2017-08-08;CHF;101,42;CHF;101,42;CHF;101,42;101,42;;;
2017-08-09;CHF;101,14;CHF;101,14;CHF;101,14;101,14;;;
2017-08-10;CHF;100,94;CHF;100,94;CHF;100,94;100,94;;;
2017-08-11;CHF;100,87;CHF;100,87;CHF;100,87;100,87;;;
2017-08-14;CHF;101,21;CHF;101,21;CHF;101,21;101,21;;;
2017-08-15;CHF;101,02;CHF;101,02;CHF;101,02;101,02;;;
2017-08-16;CHF;101,07;CHF;101,07;CHF;101,07;101,07;;;
2017-08-17;CHF;100,73;CHF;100,73;CHF;100,73;100,73;;;
2017-08-18;CHF;100,62;CHF;100,62;CHF;100,62;100,62;;;
2017-08-21;CHF;100,72;CHF;100,72;CHF;100,72;100,72;;;
2017-08-22;CHF;101,06;CHF;101,06;CHF;101,06;101,06;;;
2017-08-23;CHF;101;CHF;101;CHF;101;101;;;
2017-08-24;CHF;100,97;CHF;100,97;CHF;100,97;100,97;;;
2017-08-25;CHF;100,81;CHF;100,81;CHF;100,81;100,81;;;
2017-08-28;CHF;100,72;CHF;100,72;CHF;100,72;100,72;;;
2017-08-29;CHF;100,52;CHF;100,52;CHF;100,52;100,52;;;
2017-08-30;CHF;100,74;CHF;100,74;CHF;100,74;100,74;;;
2017-08-31;CHF;100,96;CHF;100,96;CHF;100,96;100,96;;;
2017-09-01;CHF;100,99;CHF;100,99;CHF;100,99;100,99;;;
2017-09-04;CHF;100,8;CHF;100,8;CHF;100,8;100,8;;;
2017-09-05;CHF;100,81;CHF;100,81;CHF;100,81;100,81;;;
2017-09-06;CHF;100,77;CHF;100,77;CHF;100,77;100,77;;;
2017-09-07;CHF;100,95;CHF;100,95;CHF;100,95;100,95;;;
2017-09-08;CHF;100,91;CHF;100,91;CHF;100,91;100,91;;;
2017-09-11;CHF;101,17;CHF;101,17;CHF;101,17;101,17;;;
2017-09-12;CHF;101,25;CHF;101,25;CHF;101,25;101,25;;;
2017-09-13;CHF;101,17;CHF;101,17;CHF;101,17;101,17;;;
2017-09-14;CHF;101,23;CHF;101,23;CHF;101,23;101,23;;;
2017-09-15;CHF;100,95;CHF;100,95;CHF;100,95;100,95;;;
2017-09-18;CHF;100,95;CHF;100,95;CHF;100,95;100,95;;;
2017-09-19;CHF;101,11;CHF;101,11;CHF;101,11;101,11;;;
2017-09-20;CHF;101,11;CHF;101,11;CHF;101,11;101,11;;;
2017-09-21;CHF;101,22;CHF;101,22;CHF;101,22;101,22;;;
2017-09-22;CHF;101,21;CHF;101,21;CHF;101,21;101,21;;;
2017-09-25;CHF;101,26;CHF;101,26;CHF;101,26;101,26;;;
2017-09-26;CHF;101,06;CHF;101,06;CHF;101,06;101,06;;;
2017-09-27;CHF;100,95;CHF;100,95;CHF;100,95;100,95;;;
2017-09-28;CHF;100,92;CHF;100,92;CHF;100,92;100,92;;;
2017-09-29;CHF;101,06;CHF;101,06;CHF;101,06;101,06;;;
2017-10-02;CHF;101,26;CHF;101,26;CHF;101,26;101,26;;;
2017-10-03;CHF;101,27;CHF;101,27;CHF;101,27;101,27;;;
2017-10-04;CHF;101,31;CHF;101,31;CHF;101,31;101,31;;;
2017-10-05;CHF;101,38;CHF;101,38;CHF;101,38;101,38;;;
2017-10-06;CHF;101,36;CHF;101,36;CHF;101,36;101,36;;;
2017-10-09;CHF;101,54;CHF;101,54;CHF;101,54;101,54;;;
2017-10-10;CHF;101,51;CHF;101,51;CHF;101,51;101,51;;;
2017-10-11;CHF;101,51;CHF;101,51;CHF;101,51;101,51;;;
2017-10-12;CHF;101,68;CHF;101,68;CHF;101,68;101,68;;;
2017-10-13;CHF;101,8;CHF;101,8;CHF;101,8;101,8;;;
2017-10-16;CHF;101,84;CHF;101,84;CHF;101,84;101,84;;;
2017-10-17;CHF;101,89;CHF;101,89;CHF;101,89;101,89;;;
2017-10-18;CHF;101,99;CHF;101,99;CHF;101,99;101,99;;;
2017-10-19;CHF;101,78;CHF;101,78;CHF;101,78;101,78;;;
2017-10-20;CHF;101,74;CHF;101,74;CHF;101,74;101,74;;;
2017-10-23;CHF;101,73;CHF;101,73;CHF;101,73;101,73;;;
2017-10-24;CHF;101,64;CHF;101,64;CHF;101,64;101,64;;;
2017-10-25;CHF;101,43;CHF;101,43;CHF;101,43;101,43;;;
2017-10-26;CHF;101,81;CHF;101,81;CHF;101,81;101,81;;;
2017-10-27;CHF;101,91;CHF;101,91;CHF;101,91;101,91;;;
2017-10-30;CHF;102,03;CHF;102,03;CHF;102,03;102,03;;;
2017-10-31;CHF;102,22;CHF;102,22;CHF;102,22;102,22;;;
2017-11-01;CHF;102,37;CHF;102,37;CHF;102,37;102,37;;;
