sep=;
Migros Bank (CH) Fonds – 0 V - CH0365696696 (CHF)
Date;CCY Chart Price;Chart Price;CCY Adjusted Chart Price;Adjusted Chart Price;CCY Total Return Chart Price;Total Return Chart Price;Net Asset Value;Issue Price;Redemption Price;Closing Price
2017-06-30;CHF;100;CHF;100;CHF;100;100;;;
2017-07-03;CHF;100,04;CHF;100,04;CHF;100,04;100,04;;;
2017-07-04;CHF;100,04;CHF;100,04;CHF;100,04;100,04;;;
2017-07-05;CHF;100,04;CHF;100,04;CHF;100,04;100,04;;;
2017-07-06;CHF;99,8;CHF;99,8;CHF;99,8;99,8;;;
2017-07-07;CHF;99,75;CHF;99,75;CHF;99,75;99,75;;;
2017-07-10;CHF;99,89;CHF;99,89;CHF;99,89;99,89;;;
2017-07-11;CHF;99,9;CHF;99,9;CHF;99,9;99,9;;;
2017-07-12;CHF;99,94;CHF;99,94;CHF;99,94;99,94;;;
2017-07-13;CHF;99,94;CHF;99,94;CHF;99,94;99,94;;;
2017-07-14;CHF;100,02;CHF;100,02;CHF;100,02;100,02;;;
2017-07-17;CHF;100,06;CHF;100,06;CHF;100,06;100,06;;;
2017-07-18;CHF;100,06;CHF;100,06;CHF;100,06;100,06;;;
2017-07-19;CHF;100,09;CHF;100,09;CHF;100,09;100,09;;;
2017-07-20;CHF;100,07;CHF;100,07;CHF;100,07;100,07;;;
2017-07-21;CHF;100,13;CHF;100,13;CHF;100,13;100,13;;;
2017-07-24;CHF;100,06;CHF;100,06;CHF;100,06;100,06;;;
2017-07-25;CHF;99,95;CHF;99,95;CHF;99,95;99,95;;;
2017-07-26;CHF;100,13;CHF;100,13;CHF;100,13;100,13;;;
2017-07-27;CHF;100,28;CHF;100,28;CHF;100,28;100,28;;;
2017-07-28;CHF;100,29;CHF;100,29;CHF;100,29;100,29;;;
2017-07-31;CHF;100,35;CHF;100,35;CHF;100,35;100,35;;;
2017-08-02;CHF;100,56;CHF;100,56;CHF;100,56;100,56;;;
2017-08-03;CHF;100,79;CHF;100,79;CHF;100,79;100,79;;;
2017-08-04;CHF;100,79;CHF;100,79;CHF;100,79;100,79;;;
2017-08-07;CHF;100,92;CHF;100,92;CHF;100,92;100,92;;;
2017-08-08;CHF;100,92;CHF;100,92;CHF;100,92;100,92;;;
2017-08-09;CHF;100,97;CHF;100,97;CHF;100,97;100,97;;;
2017-08-10;CHF;101,04;CHF;101,04;CHF;101,04;101,04;;;
2017-08-11;CHF;101,05;CHF;101,05;CHF;101,05;101,05;;;
2017-08-14;CHF;101,04;CHF;101,04;CHF;101,04;101,04;;;
2017-08-15;CHF;100,77;CHF;100,77;CHF;100,77;100,77;;;
2017-08-16;CHF;100,71;CHF;100,71;CHF;100,71;100,71;;;
2017-08-17;CHF;100,65;CHF;100,65;CHF;100,65;100,65;;;
2017-08-18;CHF;100,73;CHF;100,73;CHF;100,73;100,73;;;
2017-08-21;CHF;100,84;CHF;100,84;CHF;100,84;100,84;;;
2017-08-22;CHF;100,92;CHF;100,92;CHF;100,92;100,92;;;
2017-08-23;CHF;100,95;CHF;100,95;CHF;100,95;100,95;;;
2017-08-24;CHF;100,95;CHF;100,95;CHF;100,95;100,95;;;
2017-08-25;CHF;100,83;CHF;100,83;CHF;100,83;100,83;;;
2017-08-28;CHF;100,86;CHF;100,86;CHF;100,86;100,86;;;
2017-08-29;CHF;100,82;CHF;100,82;CHF;100,82;100,82;;;
2017-08-30;CHF;100,84;CHF;100,84;CHF;100,84;100,84;;;
2017-08-31;CHF;100,91;CHF;100,91;CHF;100,91;100,91;;;
2017-09-01;CHF;100,86;CHF;100,86;CHF;100,86;100,86;;;
2017-09-04;CHF;100,8;CHF;100,8;CHF;100,8;100,8;;;
2017-09-05;CHF;100,94;CHF;100,94;CHF;100,94;100,94;;;
2017-09-06;CHF;100,92;CHF;100,92;CHF;100,92;100,92;;;
2017-09-07;CHF;101,01;CHF;101,01;CHF;101,01;101,01;;;
2017-09-08;CHF;100,99;CHF;100,99;CHF;100,99;100,99;;;
2017-09-11;CHF;100,95;CHF;100,95;CHF;100,95;100,95;;;
2017-09-12;CHF;100,85;CHF;100,85;CHF;100,85;100,85;;;
2017-09-13;CHF;100,73;CHF;100,73;CHF;100,73;100,73;;;
2017-09-14;CHF;100,76;CHF;100,76;CHF;100,76;100,76;;;
2017-09-15;CHF;100,52;CHF;100,52;CHF;100,52;100,52;;;
2017-09-18;CHF;100,42;CHF;100,42;CHF;100,42;100,42;;;
2017-09-19;CHF;100,5;CHF;100,5;CHF;100,5;100,5;;;
2017-09-20;CHF;100,5;CHF;100,5;CHF;100,5;100,5;;;
2017-09-21;CHF;100,55;CHF;100,55;CHF;100,55;100,55;;;
2017-09-22;CHF;100,56;CHF;100,56;CHF;100,56;100,56;;;
2017-09-25;CHF;100,66;CHF;100,66;CHF;100,66;100,66;;;
2017-09-26;CHF;100,52;CHF;100,52;CHF;100,52;100,52;;;
2017-09-27;CHF;100,33;CHF;100,33;CHF;100,33;100,33;;;
2017-09-28;CHF;100,26;CHF;100,26;CHF;100,26;100,26;;;
2017-09-29;CHF;100,29;CHF;100,29;CHF;100,29;100,29;;;
2017-10-02;CHF;100,28;CHF;100,28;CHF;100,28;100,28;;;
2017-10-03;CHF;100,21;CHF;100,21;CHF;100,21;100,21;;;
2017-10-04;CHF;100,24;CHF;100,24;CHF;100,24;100,24;;;
2017-10-05;CHF;100,31;CHF;100,31;CHF;100,31;100,31;;;
2017-10-06;CHF;100,28;CHF;100,28;CHF;100,28;100,28;;;
2017-10-09;CHF;100,48;CHF;100,48;CHF;100,48;100,48;;;
2017-10-10;CHF;100,45;CHF;100,45;CHF;100,45;100,45;;;
2017-10-11;CHF;100,39;CHF;100,39;CHF;100,39;100,39;;;
2017-10-12;CHF;100,49;CHF;100,49;CHF;100,49;100,49;;;
2017-10-13;CHF;100,62;CHF;100,62;CHF;100,62;100,62;;;
2017-10-16;CHF;100,73;CHF;100,73;CHF;100,73;100,73;;;
2017-10-17;CHF;100,8;CHF;100,8;CHF;100,8;100,8;;;
2017-10-18;CHF;100,79;CHF;100,79;CHF;100,79;100,79;;;
2017-10-19;CHF;100,73;CHF;100,73;CHF;100,73;100,73;;;
2017-10-20;CHF;100,58;CHF;100,58;CHF;100,58;100,58;;;
2017-10-23;CHF;100,45;CHF;100,45;CHF;100,45;100,45;;;
2017-10-24;CHF;100,37;CHF;100,37;CHF;100,37;100,37;;;
2017-10-25;CHF;100,34;CHF;100,34;CHF;100,34;100,34;;;
2017-10-26;CHF;100,48;CHF;100,48;CHF;100,48;100,48;;;
2017-10-27;CHF;100,51;CHF;100,51;CHF;100,51;100,51;;;
2017-10-30;CHF;100,69;CHF;100,69;CHF;100,69;100,69;;;
2017-10-31;CHF;100,76;CHF;100,76;CHF;100,76;100,76;;;
2017-11-01;CHF;100,84;CHF;100,84;CHF;100,84;100,84;;;
2017-11-02;CHF;100,92;CHF;100,92;CHF;100,92;100,92;;;
2017-11-03;CHF;100,97;CHF;100,97;CHF;100,97;100,97;;;
2017-11-06;CHF;101,07;CHF;101,07;CHF;101,07;101,07;;;
2017-11-07;CHF;101,12;CHF;101,12;CHF;101,12;101,12;;;
2017-11-08;CHF;101,2;CHF;101,2;CHF;101,2;101,2;;;
2017-11-09;CHF;100,94;CHF;100,94;CHF;100,94;100,94;;;
2017-11-10;CHF;100,78;CHF;100,78;CHF;100,78;100,78;;;
2017-11-13;CHF;100,81;CHF;100,81;CHF;100,81;100,81;;;
2017-11-14;CHF;100,78;CHF;100,78;CHF;100,78;100,78;;;
2017-11-15;CHF;100,84;CHF;100,84;CHF;100,84;100,84;;;
2017-11-16;CHF;100,9;CHF;100,9;CHF;100,9;100,9;;;
2017-11-17;CHF;100,88;CHF;100,88;CHF;100,88;100,88;;;
2017-11-20;CHF;100,88;CHF;100,88;CHF;100,88;100,88;;;
2017-11-21;CHF;100,95;CHF;100,95;CHF;100,95;100,95;;;
2017-11-22;CHF;100,88;CHF;100,88;CHF;100,88;100,88;;;
2017-11-23;CHF;100,88;CHF;100,88;CHF;100,88;100,88;;;
2017-11-24;CHF;100,83;CHF;100,83;CHF;100,83;100,83;;;
2017-11-27;CHF;100,87;CHF;100,87;CHF;100,87;100,87;;;
2017-11-28;CHF;100,84;CHF;100,84;CHF;100,84;100,84;;;
2017-11-29;CHF;100,7;CHF;100,7;CHF;100,7;100,7;;;
2017-11-30;CHF;100,75;CHF;100,75;CHF;100,75;100,75;;;
2017-12-01;CHF;100,83;CHF;100,83;CHF;100,83;100,83;;;
2017-12-04;CHF;100,87;CHF;100,87;CHF;100,87;100,87;;;
2017-12-05;CHF;100,94;CHF;100,94;CHF;100,94;100,94;;;
2017-12-06;CHF;101,04;CHF;101,04;CHF;101,04;101,04;;;
2017-12-07;CHF;101,04;CHF;101,04;CHF;101,04;101,04;;;
2017-12-08;CHF;101,04;CHF;101,04;CHF;101,04;101,04;;;
2017-12-11;CHF;101,05;CHF;101,05;CHF;101,05;101,05;;;
2017-12-12;CHF;100,98;CHF;100,98;CHF;100,98;100,98;;;
2017-12-13;CHF;100,94;CHF;100,94;CHF;100,94;100,94;;;
2017-12-14;CHF;101,07;CHF;101,07;CHF;101,07;101,07;;;
2017-12-15;CHF;101,22;CHF;101,22;CHF;101,22;101,22;;;
2017-12-18;CHF;101,21;CHF;101,21;CHF;101,21;101,21;;;
2017-12-19;CHF;101,08;CHF;101,08;CHF;101,08;101,08;;;
2017-12-20;CHF;100,98;CHF;100,98;CHF;100,98;100,98;;;
2017-12-21;CHF;101;CHF;101;CHF;101;101;;;
