sep=;
Migros Bank (CH) Fonds – 25 V - CH0023406496 (CHF)
Date;CCY Chart Price;Chart Price;CCY Adjusted Chart Price;Adjusted Chart Price;CCY Total Return Chart Price;Total Return Chart Price;Net Asset Value;Issue Price;Redemption Price;Closing Price
2006-04-28;CHF;100;CHF;88,325;CHF;100;100;;;
2006-05-02;CHF;100,05;CHF;88,369;CHF;100,05;100,05;;;
2006-05-03;CHF;99,8;CHF;88,148;CHF;99,8;99,8;;;
2006-05-04;CHF;99,78;CHF;88,131;CHF;99,78;99,78;;;
2006-05-05;CHF;100,11;CHF;88,422;CHF;100,11;100,11;;;
2006-05-08;CHF;100,3;CHF;88,59;CHF;100,3;100,3;;;
2006-05-09;CHF;100,19;CHF;88,493;CHF;100,19;100,19;;;
2006-05-10;CHF;100,13;CHF;88,44;CHF;100,13;100,13;;;
2006-05-11;CHF;99,75;CHF;88,104;CHF;99,75;99,75;;;
2006-05-12;CHF;98,99;CHF;87,433;CHF;98,99;98,99;;;
2006-05-15;CHF;98,82;CHF;87,283;CHF;98,82;98,82;;;
2006-05-16;CHF;98,96;CHF;87,406;CHF;98,96;98,96;;;
2006-05-17;CHF;98,26;CHF;86,788;CHF;98,26;98,26;;;
2006-05-18;CHF;97,94;CHF;86,505;CHF;97,94;97,94;;;
2006-05-19;CHF;98,26;CHF;86,788;CHF;98,26;98,26;;;
2006-05-22;CHF;97,62;CHF;86,223;CHF;97,62;97,62;;;
2006-05-23;CHF;97,89;CHF;86,461;CHF;97,89;97,89;;;
2006-05-24;CHF;97,9;CHF;86,47;CHF;97,9;97,9;;;
2006-05-26;CHF;98,75;CHF;87,221;CHF;98,75;98,75;;;
2006-05-29;CHF;98,77;CHF;87,239;CHF;98,77;98,77;;;
2006-05-30;CHF;98,01;CHF;86,567;CHF;98,01;98,01;;;
2006-05-31;CHF;98,3;CHF;86,823;CHF;98,3;98,3;;;
2006-06-01;CHF;98,4;CHF;86,912;CHF;98,4;98,4;;;
2006-06-02;CHF;98,53;CHF;87,027;CHF;98,53;98,53;;;
2006-06-06;CHF;97,9;CHF;86,47;CHF;97,9;97,9;;;
2006-06-07;CHF;97,94;CHF;86,505;CHF;97,94;97,94;;;
2006-06-08;CHF;97,62;CHF;86,223;CHF;97,62;97,62;;;
2006-06-09;CHF;97,74;CHF;86,329;CHF;97,74;97,74;;;
2006-06-12;CHF;97,48;CHF;86,099;CHF;97,48;97,48;;;
