sep=;
Migros Bank (CH) Fonds – Sustainable 45 V - CH0102706105 (CHF)
Date;CCY Chart Price;Chart Price;CCY Adjusted Chart Price;Adjusted Chart Price;CCY Total Return Chart Price;Total Return Chart Price;Net Asset Value;Issue Price;Redemption Price;Closing Price
2009-09-09;CHF;100;CHF;95,107;CHF;100;100;;;
2009-09-10;CHF;100,21;CHF;95,306;CHF;100,21;100,21;;;
2009-09-11;CHF;100,51;CHF;95,592;CHF;100,51;100,51;;;
2009-09-14;CHF;100,45;CHF;95,535;CHF;100,45;100,45;;;
2009-09-15;CHF;100,46;CHF;95,544;CHF;100,46;100,46;;;
2009-09-16;CHF;100,91;CHF;95,972;CHF;100,91;100,91;;;
2009-09-17;CHF;101,03;CHF;96,086;CHF;101,03;101,03;;;
2009-09-18;CHF;101,03;CHF;96,086;CHF;101,03;101,03;;;
2009-09-21;CHF;100,9;CHF;95,963;CHF;100,9;100,9;;;
2009-09-22;CHF;101,04;CHF;96,096;CHF;101,04;101,04;;;
2009-09-23;CHF;101,04;CHF;96,096;CHF;101,04;101,04;;;
2009-09-24;CHF;100,64;CHF;95,715;CHF;100,64;100,64;;;
2009-09-25;CHF;100,39;CHF;95,478;CHF;100,39;100,39;;;
2009-09-28;CHF;100,84;CHF;95,905;CHF;100,84;100,84;;;
2009-09-29;CHF;101,09;CHF;96,143;CHF;101,09;101,09;;;
2009-09-30;CHF;101,22;CHF;96,267;CHF;101,22;101,22;;;
2009-10-01;CHF;100,61;CHF;95,687;CHF;100,61;100,61;;;
2009-10-02;CHF;99,84;CHF;94,954;CHF;99,84;99,84;;;
2009-10-05;CHF;99,88;CHF;94,992;CHF;99,88;99,88;;;
2009-10-06;CHF;100,62;CHF;95,696;CHF;100,62;100,62;;;
2009-10-07;CHF;100,69;CHF;95,763;CHF;100,69;100,69;;;
2009-10-08;CHF;101,09;CHF;96,143;CHF;101,09;101,09;;;
2009-10-09;CHF;101,02;CHF;96,077;CHF;101,02;101,02;;;
2009-10-12;CHF;101,44;CHF;96,476;CHF;101,44;101,44;;;
2009-10-13;CHF;101,22;CHF;96,267;CHF;101,22;101,22;;;
2009-10-14;CHF;101,67;CHF;96,695;CHF;101,67;101,67;;;
2009-10-15;CHF;101,57;CHF;96,6;CHF;101,57;101,57;;;
2009-10-16;CHF;101,32;CHF;96,362;CHF;101,32;101,32;;;
2009-10-19;CHF;101,66;CHF;96,685;CHF;101,66;101,66;;;
