symbol,inception
HSRT,2018-05-30
FLHY,2018-05-30
FLIA,2018-05-30
FLBL,2018-05-30
SLT,2018-05-16
BKC,2018-05-16
PFFA,2018-05-15
SRVR,2018-05-15
RTL,2018-05-15
INDS,2018-05-14
DALI,2018-05-14
AIQ,2018-05-11
FEUL,2018-05-10
LQDI,2018-05-08
SDCI,2018-05-03
SPXB,2018-05-01
UBOT,2018-04-19
HTAB,2018-04-18
IG,2018-04-17
DRIV,2018-04-13
CGVIC,2018-04-13
CIVEC,2018-04-13
VETS,2018-04-10
ESML,2018-04-10
RAAX,2018-04-09
QARP,2018-04-05
PULS,2018-04-05
MSUS,2018-04-04
IFRA,2018-04-03
CMDY,2018-04-03
PPTY,2018-03-27
KNG,2018-03-26
MXDE,2018-03-26
BDRY,2018-03-22
IECS,2018-03-21
IEDI,2018-03-21
IEFN,2018-03-21
IEHS,2018-03-21
IEIH,2018-03-21
IEME,2018-03-21
IETC,2018-03-21
IBMM,2018-03-20
FFEU,2018-03-15
FIYY,2018-03-15
DINT,2018-03-01
BOON,2018-02-28
VSL,2018-02-23
ROBT,2018-02-21
GRBIC,2018-02-16
RPIBC,2018-02-16
BVNSC,2018-02-13
VFMF,2018-02-15
VFMV,2018-02-15
VFLQ,2018-02-15
VFMO,2018-02-15
VFQY,2018-02-15
VFVA,2018-02-15
PPTB,2018-02-15
PPDM,2018-02-15
PPEM,2018-02-15
PPMC,2018-02-15
USDY,2018-02-14
EKAR,2018-02-13
FLIN,2018-02-06
FLRU,2018-02-06
FLSW,2018-02-06
FLAX,2018-02-06
IDIV,2018-02-05
XDIV,2018-02-05
KURE,2018-02-01
RPUT,2018-02-01
TMFC,2018-01-30
KOIN,2018-01-30
JPMB,2018-01-29
LEGR,2018-01-24
JPLS,2018-01-23
PLTM,2018-01-22
FNGU,2018-01-22
FNGD,2018-01-22
HONR,2018-01-19
KARS,2018-01-18
BLOK,2018-01-17
BLCN,2018-01-17
HNDL,2018-01-17
JJAB,2018-01-17
JJUB,2018-01-17
BJO,2018-01-17
JJCB,2018-01-17
BALB,2018-01-17
JJEB,2018-01-17
JJGB,2018-01-17
JJMB,2018-01-17
COWB,2018-01-17
BJJN,2018-01-17
PGMB,2018-01-17
JJPB,2018-01-17
JJSB,2018-01-17
SGGB,2018-01-17
JJTB,2018-01-17
VXZB,2018-01-17
VXXB,2018-01-17
FIDI,2018-01-16
FIVA,2018-01-16
KORP,2018-01-16
VALQ,2018-01-16
HYUP,2018-01-11
PRID,2018-01-10
SHYL,2018-01-10
DOGS,2018-01-03
WLDR,2017-12-29
DWCR,2017-12-29
DTEC,2017-12-29
LSST,2017-12-27
XKST,2017-12-26
XKII,2017-12-26
XKFS,2017-12-26
MJX,2017-12-26
WCHN,2017-12-21
WBAL,2017-12-21
LDRS,2017-12-21
JBRI,2017-12-20
WTMF,2017-12-18
QSY,2017-12-18
USAI,2017-12-13
HMOP,2017-12-13
CLRG,2017-12-13
UJPY,2017-12-12
UGBP,2017-12-12
UEUR,2017-12-12
UCHF,2017-12-12
UAUD,2017-12-12
DJPY,2017-12-12
DGBP,2017-12-12
DEUR,2017-12-12
DCHF,2017-12-12
DAUD,2017-12-12
ACT,2017-12-12
PWS,2017-12-11
HFGIC,2017-12-06
BUY,2017-12-05
BUYN,2017-12-05
